School,Province,City/regency
Pasir Putih Adventist Academy,Riau,Pekanbaru
Air Bersih Adventist Academy,North Sumatra,Medan
Balikpapan Adventist Academy,East Kalimantan,Balikpapan
Bandung Adventist Academy,West Java,"Naripan , Bandung"
Bandung Adventist School,West Java,"Setiabudi , Bandung"
Bitung Adventist Academy,,Bitung
Cimindi Adventist Academy,West Java,Cimindi
East Java Adventist Academy,East Java,Pasuruan
Irianjaya Adventist Academy,Papua,
Jakarta Adventist Academy,DKI Jakarta,"Kramat Pulo , Jakarta"
Lau Rakit Adventist Academy,North Sumatra,Tanah Karo
Klabat Adventist Academy,North Sulawesi,"Airmadidi , Manado"
Makarios School,DKI Jakarta,"Kembangan , Jakarta Barat"
Malang Adventist Academy,,Malang
Maluku Adventist Academy,,Ambon
Medan Adventist Academy,,"Jalan Veteran , Medan"
North Sulawesi Adventist Academy,,Minahasa
Palu Adventist Academy,,Palu
