Season,Event type,Location,Format,Date,Rank
2010,Pro Tour,San Juan,Block Constructed and Booster Draft,28-30 May 2010,5
2010,Nationals,Minneapolis,Standard and Booster Draft,19-22 August 2010,1
2010,Grand Prix,Nashville,Sealed and Booster Draft,20-21 November 2010,5
2011,Grand Prix,Dallas,Standard,9-10 April 2011,6
2011,Pro Tour,Philadelphia,Modern and Booster Draft,2-4 September 2011,2
2011,Worlds,San Francisco,Special,17-20 November 2011,7
2012,Grand Prix,Nashville,Sealed and Booster Draft,17-18 March 2012,4
2012-13,Grand Prix,Minneapolis,Standard,19-20 May 2012,6
2012-13,Grand Prix,"San Jose , Costa Rica",Sealed and Booster Draft,15-16 September 2012,5
2012-13,Grand Prix,Chicago,Modern,10-11 November 2012,2
2012-13,Grand Prix,Atlantic City,Standard,12-13 January 2013,2
2012-13,Pro Tour,San Diego,Block Constructed and Booster Draft,17-19 May 2013,4
2013-14,Worlds,Amsterdam,Special,31 July-4 August 2013,4
2013-14,Pro Tour,Atlanta,Block Constructed and Booster Draft,16-18 May 2014,3
2014-15,Grand Prix,Baltimore,Sealed and Booster Draft,13-14 December 2014,8
2016-17,Grand Prix,Vancouver,Modern,17-19 February 2017,1
2016-17,MOCS,Seattle,Standard and Booster Draft,3-5 March 2017,1
2017-18,Pro Tour,Minneapolis,Special,3-5 August 2018,2
