Name of aircraft,Year first flight,Country of origin
Aero A.300,1938,Czechoslovakia
ANBO VIII,1939,Lithuania
Avia B-158,1938,Czechoslovakia
Avro Lincoln,1945,UK
Beechcraft XA-38 Grizzly,1944,US
Blackburn Firebrand,1945,UK
Bloch MB.162,1940,France
Boeing XB-15,1937,US
Boeing XB-38 Flying Fortress,1943,US
Boeing XB-39 Superfortress,1944,US
Boeing XB-44 Superfortress,1945,US
Breguet 462,1936,France
Breda Ba.75,1939,Italy
Breda Ba.201,1941,Italy
Brewster XA-32,1943,US
Bristol Brigand,1944,UK
CAC Woomera,1941,Australia
CANSA FC.12,1940,Italy
CANSA FC.20,1941,Italy
CANT Z.1011,1936,Italy
