Club,League,Venue,Location,Founded
Carolina Panthers,NFL,Bank of America Stadium,Uptown Charlotte,1995
Charlotte Hornets,NBA,Spectrum Center,Uptown Charlotte,1988
Charlotte MLS team,MLS,Bank of America Stadium,Uptown Charlotte,2019
Charlotte Knights,IL,BB & T Ballpark,Uptown Charlotte,1976
Charlotte Checkers,AHL,Bojangles ' Coliseum,"Coliseum Drive , Charlotte",2010
Charlotte Independence,USL,Mecklenburg County Sportsplex,Matthews,2014
Carolina Energy,AAL,Bojangles ' Coliseum,"Coliseum Drive , Charlotte",2017
Charlotte Eagles,PDL,Restart Field,"Stonehaven , Charlotte",1993
Charlotte Rugby Club,MARFU,Skillbeck Athletic Grounds,"Coulwood , Charlotte",1971
Charlotte Roller Girls,WFTDA,Grady Cole Center,"Elizabeth , Charlotte",2006
Carolina Queens,IWFL,West Mecklenburg Stadium,"Pawtuckett , Charlotte",2005
Charlotte Invasion,WBCBL,Belk SAC Gym,South Charlotte,2014
