Year,Title,Role
2001,Harry Potter and the Philosopher 's Stone,Hermione Granger
2002,Harry Potter and the Chamber of Secrets,Hermione Granger
2004,Harry Potter and the Prisoner of Azkaban,Hermione Granger
2005,Harry Potter and the Goblet of Fire,Hermione Granger
2007,Harry Potter and the Order of the Phoenix,Hermione Granger
2008,The Tale of Despereaux,Princess Pea
2009,Harry Potter and the Half-Blood Prince,Hermione Granger
2010,Harry Potter and the Deathly Hallows - Part 1,Hermione Granger
2011,Harry Potter and the Deathly Hallows - Part 2,Hermione Granger
2011,My Week with Marilyn,Lucy
2012,The Perks of Being a Wallflower,Sam
2013,The Bling Ring,Nicki Moore
2013,This Is the End,Herself
2014,Noah,Ila
2015,Colonia,Lena
2015,Regression,Angela Gray
2017,Beauty and the Beast,Belle
2017,The Circle,Mae Holland
2019,Little Women,Margaret Meg March
