#,Date,Rival,City,Venue,Score
1,1 Jul,Wellington RU,Wellington,Athletic Park,14-19
2,11 Jul,NSW Waratahs,Sydney,Sports Ground,27-6
3,15 Jul,Central-Western Districts,Orange,Wade Park,59-10
4,18 Jul,Australia,Sydney,Sports Ground,5-0
5,22 Jul,New England,Armidale,Showground,35-6
6,25 Jul,Queensland Reds,Brisbane,The Gabba,26-5
7,29 Jul,Queensland Reds,Brisbane,The Gabba,19-0
8,1 Aug,Australia,Brisbane,The Gabba,17-0
9,5 Aug,Metropolitan Union,Sydney,Sports Ground,11-6
10,8 Aug,NSW Waratahs,Sydney,Sports Ground,25-10
11,15 Aug,Australia,Sydney,Sports Ground,22-7
