Team,Home city,Home ground
Agouado,Apatou,Stade de Moutendé
Cayenne,Cayenne,Stade Georges Chaumet
Cosma Foot,Saint-Laurent-du-Maroni,Stade Rene Long
Etoile Matoury,Matoury,Stade Municipal Matoury
Grand Santi,Mana,Stade Guy Mariette
Le Geldar,Kourou,Stade Bois Chaudat
Olympique Cayenne,Cayenne,Stade Georges Chaumet
Kourou,Kourou,Stade Bois Chaudat
Kouroucien,Kourou,Stade Bois Chaudat
Macouria,Macouria,Stade Municipal Macouria
Matoury,Matoury,Stade Municipal Matoury
Rémire,Remire-Montjoly,Stade Edmard Lama
