System,Type,No . of lines,Description
Altamont Corridor Express,Commuter rail,1,"The Altamont Commuter Express , also known as ACE , runs from San Jose northeast to Stockton , providing service from the Silicon Valley to Eastern Alameda County and San Joaquin County"
Bay Area Rapid Transit,"Heavy rail , light rail , automated guideway transit",6,"Bay Area Rapid Transit ( BART ) operates in the San Francisco Bay Area , connecting San Francisco with cities in the East Bay and suburbs in northern San Mateo County"
Caltrain,Commuter rail,1,Caltrain runs from San Francisco south down the San Francisco Peninsula to the Silicon Valley
COASTER,Commuter rail,1,"The San Diego Coast Express Rail ( COASTER ) operates in the central and northern coastal regions of San Diego County , running from San Diego north to Oceanside"
Metro Rail,Heavy and light rail,6,Metro Rail is an integrated subway and light rail system serving Los Angeles County
Metrolink,Commuter rail,7,"Metrolink serves Los Angeles and the surrounding area of Southern California , connecting Los Angeles , San Diego , Orange , Riverside , San Bernardino and Ventura Counties"
Muni Metro,Light rail,6,Muni Metro is a premetro/light rail system connecting various neighborhoods and districts of San Francisco
Sacramento RT Light Rail,Light rail,3,The Sacramento Regional Transit District ( RT ) light rail system serves Sacramento and vicinity
San Diego Trolley,Light rail,4,The San Diego Trolley serves the metropolitan area of San Diego
San Francisco cable car system,Streetcar,3,"The world 's last manually operated cable car system continues to operate in northeast San Francisco , but the system 's small service area and premium fares for single rides currently make the cable cars used more as a tourist attraction"
Sonoma-Marin Area Rail Transit,Commuter rail,1,Sonoma-Marin Area Rail Transit ( SMART ) runs through Sonoma and Marin counties
SPRINTER,Diesel light rail,1,"The SPRINTER operates in north region of San Diego County , running from Oceanside east to Escondido"
VTA Light Rail,Light Rail,3,The Santa Clara Valley Transportation Authority ( VTA ) Light Rail system serves San Jose and its suburbs in the Silicon Valley
