P,Name,Age,Moving to
GK,Felipe,21,Paraná Clube
DF,Carlinhos,21,Mirassol
MF,Dionísio,20,Oeste
MF,Patrik,21,Comercial
MF,Hudson,21,Santa Cruz
DF,Anderson Salles,21,Juventus
GK,Vladimir,20,Fortaleza
FW,Mariano Trípodi,21,Atlético Mineiro
MF,Wesley,22,Atlético-PR
GK,Felipe,21,Portuguesa Santista
MF,Adriano,21,São Caetano
DF,Filipi Souza,21,Uberaba
MF,Patrik,21,Uberaba
MF,Hudson,22,Ituano
DF,Vinicius Simon,22,Santo André
FW,Tiago Luís,20,União Leiria
MF,Roberto Brum,30,Figueirense
DF,Domingos,24,Portuguesa
