,Members,Group,State,Votes
1,Mairead McGuinness,EPP,Ireland,"466 , Round 1"
2,Bogusław Liberadzki,S & D,Poland,"378 , Round 1"
3,David Sassoli,S & D,Italy,"377 , Round 1"
4,Rainer Wieland,EPP,Germany,"336 , Round 1"
5,Sylvie Guillaume,S & D,France,"335 , Round 1"
6,Ryszard Czarnecki,ECR,Poland,"328 , Round 1"
7,Ramón Luis Valcárcel,EPP,Spain,"323 , Round 1"
8,Evelyne Gebhardt,S & D,Germany,"315 , Round 1"
9,Pavel Telička,ALDE,Czech Republic,"313 , Round 1"
10,Ildikó Pelczné Gáll,EPP,Hungary,"310 , Round 1"
11,Ioan Mircea Pașcu,S & D,Romania,"517 , Round 2"
12,Dimitrios Papadimoulis,GUE/NGL,Greece,"469 , Round 2"
13,Ulrike Lunacek,Greens/EFA,Austria,"441 , Round 2"
14,Alexander Graf Lambsdorff,ALDE,Germany,"393 , Round 2"
