Dance,Best dancer,Best score,Worst dancer,Worst score
Cha-Cha-Cha,Elisabeth Duda,39,Mariusz Pudzianowski,24
Waltz,Magdalena Walach Tamara Arciuch,40,Łukasz Zagrobelny,28
Quickstep,Magdalena Walach Wojciech Łozowski,35,Elisabeth Duda,27
Rumba,Wojciech Łozowski,40,Mariusz Pudzianowski,29
Jive,Magdalena Walach,40,Łukasz Zagrobelny,20
Tango,Tamara Arciuch Magdalena Walach,40,Małgorzata Socha,21
Foxtrot,Magdalena Walach,38,Tomasz Schimscheiner,28
Paso Doble,Elisabeth Duda,38,Marina Łuczenko,22
Samba,Magdalena Walach,35,Mariusz Pudzianowski,26
Viennese Waltz,Magdalena Walach,40,Elisabeth Duda,27
American Smooth,Tamara Arciuch Magdalena Walach,40,Łukasz Zagrobelny,30
Salsa,Magdalena Walach,39,Łukasz Zagrobelny,26
Argentine Tango,Magdalena Walach Mariusz Pudzianowski Tamara Arciuch,40,-,-
Freestyle,Magdalena Walach,40,Mariusz Pudzianowski,38
