Club,Titles,Winning years
Banfield,6,"1899 , 1900 , 1939 , 1946 , 1962 , 1973"
Ferro Carril Oeste,6,"1958 , 1963 , 1969 , 1970 , 1978 , 2002-03"
Tigre,4,"1945 , 1953 , 1979 , 2004-05"
Chacarita Juniors,4,"1941 , 1959 , 1993-94 , 2014"
Quilmes,4,"1949 , 1961 , 1975 , 1986-87"
Lanús,4,"1950 , 1964 , 1971 , 1976"
Barracas,3,"1901 , 1903 , 1904"
Estudiantes ( BA ),3,"1906 , 1977 , 1999-2000"
Estudiantes ( LP ),3,"1913 FAF , 1935 , 1954"
El Porvenir,3,"1920 , 1927 , 1997-98"
Nueva Chicago,3,"1930 , 1981 , 2013-14"
Atlanta,3,"1956 , 1983 , 2010-11"
Gimnasia y Esgrima ( LP ),3,"1944 , 1947 , 1952"
All Boys,3,"1972 , 1992-93 , 2007-08"
Rosario Central,3,"1942 , 1951 , 1985"
Platense,3,"1976 , 2005-06 , 2017-18"
Defensores de Belgrano,2,"1967 , 2000-01"
San Lorenzo,2,"1914 , 1982"
Huracán III,2,"1916 , 1921"
Racing III,2,"1924 AAm , 1926 AAm"
