Year,Title,Role,Notes
1985-1987,One Life to Live,Samantha Sammi Garretson,First acting role
1987,Spenser : For Hire,Tara,Episode : Thanksgiving
1991,In Living Color,Former drug addict,Episode : The Jackson Bunch
1991,"Eerie , Indiana",Melanie Monroe,Episode : Heart on a Chain
1991,Growing Pains,Susie Maxwell,Episode : The Big Fix
1991,Do n't Touch My Daughter,Dana Hemmings,Television film ; also known as Nightmare
1991,The Killing Mind,Young Isobel Neiman,Television film
1992,1775,Abby Proctor,Pilot
1992-1993,Roseanne,Molly Tilden,7 episodes
1993,Jack 's Place,Jennifer,Episode : True Love Ways
1993,The Woman Who Loved Elvis,Priscilla Cilla Jackson,Television film ; based on Laura Kalpakian 's novel Graced Land
1994,The Commish,Sheri Fisher,Episode : Romeo and Juliet
1994,Boy Meets World,Theresa T.K . Keiner,Episode : Sister Theresa
1994,Roseanne : An Unauthorized Biography,Jessica Pentland,Television film
1996,Wish Upon a Star,Hayley Wheaton/Alexia Wheaton,Television film
1997,High Incident,Tiffany,Episode : Camino High
1997,ER,Laura Quentin,"Episodes : Something New , Friendly Fire"
"1997 , 1998",Brooklyn South,Willow Mortner,"Episodes : Clown Without Pity , Tears on My Willow"
1998,Diagnosis : Murder,Noelle Andrew,Episode : An Education in Murder
1998,Charmed,Aviva,Episode : The Fourth Sister
