State ( class ),Vacator,Reason for change,Successor,Date of successor 's formal installation
West Virginia ( 2 ),Matthew M. Neely ( D ),"Resigned January 12 , 1941 , after being elected Governor of West Virginia . Successor was appointed to serve until a special election , which he subsequently lost . In addition , successor took oath of office after the Senate resolved a challenge to the appointment",Joseph Rosier ( D ),"January 13 , 1941"
Arkansas ( 2 ),John E. Miller ( D ),"Resigned March 31 , 1941 , after being appointed judge for the US District Court for the Western District of Arkansas . Successor was appointed to finish the term",G. Lloyd Spencer ( D ),"April 1 , 1941"
Texas ( 2 ),Morris Sheppard ( D ),"Died April 9 , 1941 . Successor was appointed to serve until a special election",Andrew Jackson Houston ( D ),"April 21 , 1941"
Mississippi ( 2 ),Pat Harrison ( D ),"Died June 22 , 1941 . Successor was appointed to serve until a special election",James Eastland ( D ),"June 30 , 1941"
Texas ( 2 ),Andrew Jackson Houston ( D ),"Died June 26 , 1941 . Successor was elected to finish term",W. Lee O'Daniel ( D ),"June 28 , 1941"
South Carolina ( 2 ),James F. Byrnes ( D ),"Resigned July 17 , 1941 , after being appointed Associate Justice of the Supreme Court of the United States . Successor was appointed to serve until a special election",Alva M. Lumpkin ( D ),"July 22 , 1941"
South Carolina ( 2 ),Alva M. Lumpkin ( D ),"Died August 1 , 1941 . Successor was appointed to serve until a special election",Roger C. Peace ( D ),"August 5 , 1941"
Mississippi ( 2 ),James Eastland ( D ),"Appointee did not seek election to finish term . Successor was elected September 28 , 1941 , to finish term",Wall Doxey ( D ),"September 29 , 1941"
South Carolina ( 2 ),Roger C. Peace ( D ),"Appointee did not seek election to finish term . Successor was elected November 4 , 1941 , to finish term",Burnet R. Maybank ( D ),"November 5 , 1941"
Colorado ( 3 ),Alva B. Adams ( D ),"Died December 1 , 1941 . Successor was appointed to serve until the November 3 , 1942 , special election , which he won",Eugene Millikin ( R ),"December 20 , 1941"
West Virginia ( 2 ),Joseph Rosier ( D ),"Appointee lost election November 17 , 1942 , to finish the term . Successor was elected to finish term",Hugh Shott ( R ),"November 18 , 1942"
Minnesota ( 2 ),Joseph H. Ball ( R ),"Appointee did not seek election to finish term . Successor was elected November 17 , 1942 , to finish term",Arthur E. Nelson ( R ),"November 18 , 1942"
Nevada ( 1 ),Berkeley L. Bunker ( D ),"Appointee lost election December 7 , 1942 , to finish the term . Successor was elected to finish term",James G. Scrugham ( D ),"December 7 , 1942"
