Stadium,Capacity,City,State,Tenant,Opening
Indore Sports Complex,"50,000",Indore,Madhya Pradesh,Madhya Pradesh cricket team,TBA
Barkatullah University Stadium,"50,000",Bhopal,Madhya Pradesh,Madhya Pradesh cricket team,2015
Mullanpur International Cricket Stadium,"50,000",Mullanpur,Punjab,Punjab cricket team,TBA
Kerala Cricket Association Stadium,"50,000",Trivandrum,Kerala,Kerala cricket team,2006
Goa Cricket Association Stadium,"45,000",Panaji,Goa,Goa cricket team,2018
Udaipur International Cricket Stadium,"35,000",Udaipur,Rajasthan,Rajasthan cricket team,TBA
Mangalore International Cricket Stadium,"35,000",Mangalore,Karnataka,Karnataka cricket team,TBA
Amritsar International Cricket Stadium,"25,000",Amritsar,Punjab,Punjab cricket team,TBA
Ghaziabad International Cricket Stadium,"25,000",Ghaziabad,Uttar Pradesh,Uttar Pradesh cricket team,2017
Vadodara International Cricket Stadium,"45,000",Vadodara,Gujarat,Gujarat cricket team,2017
