Team,Winners,Runners-up,Years won,Years runner-up
Arsenal,13,7,"1930 , 1936 , 1950 , 1971 , 1979 , 1993 , 1998 , 2002 , 2003 , 2005 , 2014 , 2015 , 2017","1927 , 1932 , 1952 , 1972 , 1978 , 1980 , 2001"
Chelsea,8,5,"1970 , 1997 , 2000 , 2007 , 2009 , 2010 , 2012 , 2018","1915 , 1967 , 1994 , 2002 , 2017"
Tottenham Hotspur,8,1,"1901 , 1921 , 1961 , 1962 , 1967 , 1981 , 1982 , 1991",1987
Wanderers,5,0,"1872 , 1873 , 1876 , 1877 , 1878",-
West Ham United,3,2,"1964 , 1975 , 1980","1923 , 2006"
Charlton Athletic,1,1,1947,1946
Clapham Rovers,1,1,1880,1879
Wimbledon,1,0,1988,-
Crystal Palace,0,2,-,"1990 , 2016"
Fulham,0,1,-,1975
Queens Park Rangers,0,1,-,1982
Millwall,0,1,-,2004
