Year,Winner,Runner-up,Third place
1893-94,Standard Athletic Club ( 1 ),The White Rovers,-
1894-95,Standard Athletic Club ( 2 ),The White Rovers,-
1895-96,Club Français ( 1 ),The White Rovers,-
1896-97,Standard Athletic Club ( 3 ),The White Rovers,-
1897-98,Standard Athletic Club ( 4 ),Club Français,-
1898-99,Le Havre ( 1 ),Club Français,-
1899-1900,Le Havre ( 2 ),Club Français,-
1900-01,Standard Athletic Club ( 5 ),Le Havre,-
1901-02,Roubaix ( 1 ),RCF Paris,-
1902-03,Roubaix ( 2 ),RCF Paris,-
1903-04,Roubaix ( 3 ),Suisse Paris,-
1904-05,Gallia Club Paris ( 1 ),Roubaix,-
1905-06,Roubaix ( 4 ),CA Paris,-
1906-07,RCF Paris ( 1 ),Roubaix,-
1907-08,Roubaix ( 5 ),RCF Paris,-
1908-09,Helvétique Marseille ( 1 ),CA Paris,-
1909-10,US Tourcoing ( 1 ),Helvétique Marseille,-
1910-11,Helvétique Marseille ( 2 ),RCF Paris,-
1911-12,Saint-Raphaël ( 1 ),AS Française,-
1912-13,Helvétique Marseille ( 3 ),Rouen,-
