Year,Title,Role
1994,71 Fragments of a Chronology of Chance,Kid in Subway
2004,Tony n ' Tina 's Wedding,Johnny Nunzio
2005,Red Doors,Simon
2006,The Architect,Martin Waters
2006,The Covenant,Chase Collins
2007,The Education of Charlie Banks,Leo Reilly
2008,Rachel Getting Married,Walter
2009,Spread,Harry
2010,Hot Tub Time Machine,Blaine
2010,Black Swan,Andrew / Suitor
2011,Captain America : The First Avenger,Bucky Barnes
2012,Gone,Billy
2012,The Apparition,Ben Curtis
2014,Captain America : The Winter Soldier,Bucky Barnes / Winter Soldier
2015,Ant-Man,Bucky Barnes / Winter Soldier
2015,The Bronze,Lance Tucker
2015,Ricki and the Flash,Joshua Brummel
2015,The Martian,Dr. Chris Beck
2016,Captain America : Civil War,Bucky Barnes / Winter Soldier
2017,Logan Lucky,Dayton White
