No,Position,Player,Nation
1,Goalkeeper,Tyler Miller,United States
2,Defender,Noah Billingsley,New Zealand
3,Defender,Ike Opara,United States
5,Midfielder,Jacori Hayes,United States
6,Midfielder,Osvaldo Alonso,Cuba
7,Midfielder,Kevin Molino,Trinidad and Tobago
8,Midfielder,Ján Greguš ( DP ),Slovakia
9,Forward,Luis Amarilla ( on loan from Vélez Sarsfield ),Paraguay
11,Midfielder,Thomás Chacón ( DP ),Uruguay
13,Midfielder,Ethan Finlay,United States
14,Defender,Brent Kallman,United States
15,Defender,Michael Boxall,New Zealand
17,Midfielder,Robin Lod,Finland
18,Goalkeeper,Greg Ranjitsingh,Canada
19,Defender,Romain Métanire,Madagascar
22,Defender,Wyatt Omsberg,United States
23,Forward,Mason Toye ( GA ),United States
31,Midfielder,Hassani Dotson,United States
41,Midfielder,James Musa,New Zealand
77,Defender,Chase Gasper,United States
