Name,Years,Nationality,Prominent roles
Reymond Amsalem,1978-,Israeli,Hostages
Dave Annable,1979-,American,
Shiri Appleby,1978-,American,Roswell
David Arquette,1971-,American,"Scream , See Spot Run"
Mili Avital,1972-,Israeli,Stargate
Eric Balfour,1977-,American,
Elizabeth Banks,1974-,American,The Hunger Games
Sendi Bar,1976-,Israeli,
Sacha Baron Cohen,1971-,British,"Ali G , Borat , Brüno , The Dictator"
Justin Bartha,1978-,American,"Gigli , National Treasure , The Hangover"
Dani Behr,1971-,British,
Amber Benson,1977-,American,Buffy the Vampire Slayer
Elizabeth Berkley,1972-,American,"Saved By The Bell , Showgirls"
Josh Bernstein,1971-,American,Digging for the Truth
Jon Bernthal,1976-,American,The Walking Dead
Mayim Bialik,1975-,American,"Blossom , The Big Bang Theory"
Michael Ian Black,1971-,American,
Selma Blair,1972-,American,"Cruel Intentions , Hellboy"
Alex Borstein,1973-,American,Family Guy
Caprice Bourret,1971-,American/British,
