District,Senator,Party,Residence
1,Scott Sifton,Dem,St. Louis
2,Bob Onder,Rep,Lake St. Louis
3,Vacant,,Farmington
4,Karla May,Dem,St. Louis
5,Jamilah Nasheed,Dem,St. Louis
6,Mike Bernskoetter,Rep,Jefferson City
7,Vacant,,Kansas City
8,Mike Cierpiot,Rep,Kansas City
9,Vacant,,Kansas City
10,Jeanie Riddle,Rep,Mokane
11,John Rizzo,Dem,Kansas City
12,Dan Hegeman,Rep,Cosby
13,Gina Walsh,Dem,Spanish Lake
14,Brian Williams,Dem,St. Louis County
15,Andrew Koenig,Rep,Manchester ( St. Louis Co . )
16,Justin Brown,Rep,Rolla
17,Lauren Arthur,Dem,Kansas City
18,Cindy O'Laughlin,Rep,Williamstown
19,Caleb Rowden,Rep,Columbia
20,Eric Burlison,Rep,Battlefield
