Position,Player,From club,Fee
Manager,Abdul Rahman Ibrahim,PKNS,align=right| 0
AMLC,Zairo Anuar Zalani,Kelantan,align=right| 0
ST,Izzaq Faris Ramlan,Harimau Muda A,align=right| 0
DC,Ahmad Azlan Zainal,PKNS,align=right| 0
DR,Mazlizam Mohamad,T-Team,align=right| 0
GK,Sharbinee Allawee,Selangor,align=right| 0
AMR,Nor Hakim Hassan,PKNS,align=right| 0
GK,Izzuddin Hussin,Terengganu President 's Cup,align=right| 0
AMRC,Nor Farhan Muhammad,Kelantan FA,align=right| 0
AMRL,Mohd Faiz Subri,Kelantan FA,align=right| 0
MC,Mario Karlović,Persebaya Surabaya,align=right| 0
ST,Márcio Souza Da Silva,Perseman Manokwari,align=right| 0
ST,Mamadou Barry,South China AA,align=right| 0
ST,Moustapha Dabo,Kahramanmaraşspor,align=right| 0
ST,Javier Estupiñán,Parrillas One,align=right| 0
