Team,Location,Stadium,Capacity
A.F.C . Leopards,Nairobi,Nyayo National Stadium,"30,000"
Bandari,Mombasa,Mombasa Municipal Stadium,"10,000"
Chemelil Sugar,Chemelil,Chemelil Sports Complex,"5,000"
Gor Mahia,Nairobi,Nairobi City Stadium,"15,000"
Kakamega Homeboyz,Kakamega,Bukhungu Stadium,"5,000"
Kariobangi Sharks,Nairobi,Narok Stadium,"4,000"
Kenya Commercial Bank,Nairobi,Nairobi City Stadium,"15,000"
Kisumu All Stars,Kisumu,Moi Stadium,"5,000"
Mathare United,Nairobi,Kasarani Stadium,"60,000"
Nzoia United,Bungoma,Kanduyi Stadium,"5,000"
Posta Rangers,Eldoret,Kipchoge Keino Stadium,"10,000"
Sofapaka,Nairobi,Narok Stadium,"4,000"
Sony Sugar,Awendo,Green Stadium,"5,000"
Tusker,Meru,Kinoru Stadium,"60,000"
Ulinzi Stars,Nakuru,Afraha Stadium,"8,200"
Wazito,Machakos,Kenyatta Stadium,"5,000"
Western Stima,Kakamega,Bukhungu Stadium,"5,000"
Zoo Kericho,Kericho,Green Stadium,"3,000"
