Week,Tournament,Location,Winner
Mar 8-11,Florida Classic,Florida,Chris Couch ( 1 )
Mar 15-18,Monterrey Open,Mexico,Deane Pappas ( 2 )
Mar 29-Apr 1,Louisiana Open,Louisiana,Paul Claxton ( 1 )
Apr 19-22,Arkansas Classic,Arkansas,Brett Quigley ( 2 )
Apr 26-29,Charity Pro-Am at the Cliffs,South Carolina,Jonathan Byrd ( 1 )
May 10-13,Carolina Classic,North Carolina,John Maginnes ( 3 )
May 10-13,Virginia Beach Open,Virginia,Trevor Dodds ( 4 )
May 17-20,Richmond Open,Virginia,Chad Campbell ( 1 )
May 31 - Jun 3,Steamtown Classic,Pennsylvania,Jason Hill ( 1 )
Jun 7-10,Canadian PGA Championship,Canada,Richard Zokol ( 1 )
Jun 14-17,Greater Cleveland Open,Ohio,Heath Slocum ( 1 )
Jun 21-24,Dayton Open,Ohio,Todd Barranger ( 1 )
Jun 28 - Jul 1,Knoxville Open,Tennessee,Heath Slocum ( 2 )
Jul 5-8,Hershey Open,Pennsylvania,John Rollins ( 1 )
Jul 12-15,Wichita Open,Kansas,Jason Dufner ( 1 )
Jul 19-22,Siouxland Open,South Dakota,Pat Bates ( 3 )
Jul 26-29,Ozarks Open,Missouri,Steve Haskins ( 1 )
Aug 2-5,Omaha Classic,Nebraska,Heath Slocum ( 3 )
Aug 9-12,Fort Smith Classic,Arkansas,Jay Delsing ( 1 )
Aug 16-19,Permian Basin Open,Texas,Chad Campbell ( 2 )
