,Name on the Register,Date listed,Location,City or town
1,Barratt House,"September 12 , 1985 ( # 85002382 )",South Carolina Highway 67 and Bryan Dorn Rd . 34°06′37″N 82°07′39″W / 34.110278°N 82.1275°W / 34.110278 ; -82.1275 ( Barratt House ),Greenwood
2,J. Wesley Brooks House,"March 30 , 1973 ( # 73001712 )",2 miles south of Greenwood on U.S. Route 25 34°08′18″N 82°07′48″W / 34.138333°N 82.13°W / 34.138333 ; -82.13 ( J. Wesley Brooks House ),Greenwood
3,Greenville Presbyterian Church,"May 20 , 1998 ( # 98000561 )",Greenville Church Rd . 34°20′50″N 82°18′14″W / 34.347222°N 82.303889°W / 34.347222 ; -82.303889 ( Greenville Presbyterian Church ),Donalds
4,Kinard House,"March 7 , 2007 ( # 07000119 )",227 W. Main St. 34°10′27″N 82°01′42″W / 34.174167°N 82.028333°W / 34.174167 ; -82.028333 ( Kinard House ),Ninety Six
5,Lander College Old Main Building,"August 2 , 1984 ( # 84002046 )",Stanley Ave. and Lander St. 34°11′54″N 82°09′52″W / 34.198333°N 82.164444°W / 34.198333 ; -82.164444 ( Lander College Old Main Building ),Greenwood
6,Magnolia Cemetery,"June 9 , 2004 ( # 04000590 )",416 Magnolia Ave. 34°11′27″N 82°09′16″W / 34.190833°N 82.154444°W / 34.190833 ; -82.154444 ( Magnolia Cemetery ),Greenwood
7,Moore-Kinard House,"August 4 , 1983 ( # 83002198 )",U.S. Route 178 and S-24-44 34°05′18″N 82°02′34″W / 34.088333°N 82.042778°W / 34.088333 ; -82.042778 ( Moore-Kinard House ),Ninety Six
8,Mt . Pisgah A.M.E. Church,"August 16 , 1979 ( # 79002384 )",Hackett Ave. and James St. 34°11′29″N 82°09′12″W / 34.191389°N 82.153333°W / 34.191389 ; -82.153333 ( Mt . Pisgah A.M.E. Church ),Greenwood
9,Ninety Six National Historic Site,"December 3 , 1969 ( # 69000169 )",2 miles south of Ninety Six between South Carolina Highways 27 and 248 34°09′19″N 82°00′46″W / 34.155278°N 82.012778°W / 34.155278 ; -82.012778 ( Ninety Six National Historic Site ),Ninety Six
10,The Oaks,"December 17 , 2010 ( # 10001040 )",114 Old Puckett 's Ferry Rd . 34°15′25″N 82°05′05″W / 34.256944°N 82.084722°W / 34.256944 ; -82.084722 ( The Oaks ),Coronaca vicinity
11,Old Cokesbury and Masonic Female College and Conference School,"August 25 , 1970 ( # 70000589 )",North of Greenwood at the junction of South Carolina Highways 246 and 254 34°16′29″N 82°13′03″W / 34.274722°N 82.2175°W / 34.274722 ; -82.2175 ( Old Cokesbury and Masonic Female College and Conference School ),Cokesbury
12,Old Greenwood Cemetery,"March 1 , 2002 ( # 02000115 )",503 E. Cambridge Ave. 34°11′50″N 82°09′12″W / 34.197222°N 82.153333°W / 34.197222 ; -82.153333 ( Old Greenwood Cemetery ),Greenwood
13,Old Greenwood High School,"October 10 , 1985 ( # 85003120 )",857 S. Main St. 34°11′08″N 82°09′29″W / 34.185556°N 82.158056°W / 34.185556 ; -82.158056 ( Old Greenwood High School ),Greenwood
14,James C. Self House,"November 20 , 1987 ( # 87002064 )",595 N. Mathis St. 34°11′38″N 82°10′54″W / 34.193889°N 82.181667°W / 34.193889 ; -82.181667 ( James C. Self House ),Greenwood
15,Southern Railway Depot,"October 6 , 2011 ( # 11000731 )",99 South Carolina Highway 34 34°10′29″N 82°01′27″W / 34.174722°N 82.024167°W / 34.174722 ; -82.024167 ( Southern Railway Depot ),Ninety Six
16,Stony Point,"June 20 , 1975 ( # 75001700 )",North of Greenwood at the junction of South Carolina Highways 39 and 246 34°16′44″N 82°07′33″W / 34.278889°N 82.125833°W / 34.278889 ; -82.125833 ( Stony Point ),Greenwood
17,Sunnyside,"November 14 , 1978 ( # 78002515 )",105 Dargan Ave. 34°11′07″N 82°09′08″W / 34.185278°N 82.152222°W / 34.185278 ; -82.152222 ( Sunnyside ),Greenwood
18,Tabernacle Cemetery,"August 1 , 2008 ( # 08000736 )","Tabernacle Cemetery Rd. , just east of South Carolina Highway 254 34°16′00″N 82°11′02″W / 34.266667°N 82.183889°W / 34.266667 ; -82.183889 ( Tabernacle Cemetery )",Greenwood
19,Trapp and Chandler Pottery Site ( 38GN169 ),"January 6 , 1986 ( # 86000043 )",Address Restricted,Kirksey
20,Vance-Maxwell House,"March 5 , 1982 ( # 82003866 )",158 E. Cambridge St. 34°11′42″N 82°09′33″W / 34.195°N 82.159167°W / 34.195 ; -82.159167 ( Vance-Maxwell House ),Greenwood
