Rank,Athlete,Nationality,Time
1,Rhadi Ben Abdesselam,Morocco,43:33
2,Gaston Roelants,Belgium,43:40
3,John Merriman,Wales,43:40
4,Basil Heatley,England,44:31
5,Henri Clerckx,Belgium,44:38
6,Fred Norris,England,44:42
7,Alastair Wood,Scotland,44:46
8,Frank Sando,England,44:49
9,Harry Minshall,England,44:53
10,Stanley Eldon,England,44:54
11,Hedwig Leenaert,Belgium,44:56
12,Eugène Allonsius,Belgium,44:59
13,Hamoud Ameur,France,45:01
14,Georges Fromont,Belgium,45:03
15,Gerry North,England,45:04
16,Salah Beddiaf,France,45:09
17,Marcel Vandewattyne,Belgium,45:19
18,Alain Mimoun,France,45:22
19,Francis Duleau,France,45:23
20,David Richards Jun,Wales,45:24
