Season,Winner,Runner-up,Third
1989,Soviet Union Natalia Prikazchikova Svetlana Davidova Luisa Zherepenova Elena Golovina,Norway Synnøve Thoresen Elin Kristiansen Anne Elvebakk Mona Bollerud,West Germany Inga Kesper Daniela Hörburger Dorina Pieper Petra Schaaf
1990,Soviet Union Elena Batsevich Elena Golovina Svetlana Paramygina Svetlana Davidova,West Germany Irene Schroll Daniela Hörburger Inga Kesper Petra Schaaf,Bulgaria Nadezda Aleksieva Iva Schkodreva Maria Manolova Zvetana Krasteva
1991,Soviet Union Yelena Belova Elena Golovina ( 3 ) Svetlana Paramygina Svetlana Davidova ( 3 ),Bulgaria Maria Manolova Silvana Blogoeva Nadezda Aleksieva Iva Schkodreva,Norway Synnøve Thoresen Signe Trosten Hildegunn Fossen Unni Kristiansen
1992,Germany Petra Bauer Uschi Disl Inga Kesper Petra Schaaf,CIS Elena Belova Inna Sheshkil Anfisa Reztsova Svetlana Petcherskaia,Czechoslovakia Gabriela Suvová Eva Háková Jana Kulhavá Jiřina Adamičkova
1993,France Nathalie Beausire Delphyne Heymann Anne Briand Corinne Niogret,Belarus Natalia Permiakova Natalia Sulzheva Natalia Ryzhenkova Svetlana Paramygina,Poland Zofia Kiełpińska Krystyna Liberda Anna Stera Helena Mikołajczyk
1994,Belarus Natalia Permiakova Natalia Ryzhenkova Irina Kokoueva Svetlana Paramygina ( 3 ),Norway Ann Elen Skjelbreid Åse Idland Annette Sikveland Hildegunn Fossen,France Emmanuelle Claret Nathalie Beausire Corinne Niogret Véronique Claudel
1995,Norway Elin Kristiansen Annette Sikveland Gunn Margit Andreassen Ann Elen Skjelbreid,Germany Kathy Schwaab Simone Greiner-Petter-Memm Uschi Disl Petra Behle,France Emmanuelle Claret Véronique Claudel Anne Briand Corinne Niogret
1996,Germany Katrin Apel Simone Greiner-Petter-Memm Petra Behle Uschi Disl,Ukraine Nina Lemesh Olena Petrova Tetyana Vodopyanova Olena Zubrilova,France Emmanuelle Claret Anne Briand Florence Baverel Corinne Niogret
1997,Norway Annette Sikveland Ann Elen Skjelbreid Liv Grete Skjelbreid Gunn Margit Andreassen,Russia Olga Romasko Anna Volkova Nadezhda Talanova Olga Melnik,Ukraine Olena Petrova Olena Zubrilova Valentina Tserbe-Nessina Tetyana Vodopyanova
1998,Russia Anna Volkova Olga Romasko Svetlana Ishmouratova Albina Akhatova,Norway Hildegunn Mikkelsplass Annette Sikveland Ann Elen Skjelbreid Liv Grete Skjelbreid,Finland Katja Holanti Tiina Mikkola Mari Lampinen Sanna-Leena Perunka
