No,Race,Pole position,Most laps led,Winning driver,Winning manufacturer
1,NextEra Energy Resources 250,Jason White,Todd Bodine,Timothy Peters,Toyota
2,E-Z-GO 200,"Ron Hornaday , Jr",Kevin Harvick,Kevin Harvick,Chevrolet
3,Kroger 250,Kevin Harvick,Kevin Harvick,Kevin Harvick,Chevrolet
4,Nashville 200,Kyle Busch,Kyle Busch,Kyle Busch,Toyota
5,O'Reilly Auto Parts 250,"Ron Hornaday , Jr",Johnny Sauter,Johnny Sauter,Chevrolet
6,Dover 200,Kyle Busch,Kyle Busch,Aric Almirola,Toyota
7,North Carolina Education Lottery 200,Kyle Busch,Kyle Busch,Kyle Busch,Toyota
8,WinStar World Casino 400,Austin Dillon,Todd Bodine,Todd Bodine,Toyota
9,VFW 200,Austin Dillon,Todd Bodine,Aric Almirola,Toyota
10,Lucas Oil 200,Austin Dillon,Austin Dillon,Austin Dillon,Chevrolet
11,CampingWorld.com 200,Kevin Harvick,Kevin Harvick,Kevin Harvick,Chevrolet
12,AAA Insurance 200 presented by J. D. Byrider,Timothy Peters,"Ron Hornaday , Jr","Ron Hornaday , Jr",Chevrolet
13,Pocono Mountains 125,Elliott Sadler,Elliott Sadler,Elliott Sadler,Chevrolet
14,Nashville 200,Todd Bodine,Todd Bodine,Todd Bodine,Toyota
15,Too Tough To Tame 200,Timothy Peters,Timothy Peters Todd Bodine,Todd Bodine,Toyota
16,O'Reilly 200,Kyle Busch,Kyle Busch,Kyle Busch,Toyota
17,EnjoyIllinois.com 225,Todd Bodine,Kyle Busch,Kyle Busch,Toyota
18,Built Ford Tough 225,Austin Dillon,Kyle Busch,Todd Bodine,Toyota
19,TheRaceDayRaffleSeries.com 175,Kyle Busch,Kyle Busch,Kyle Busch,Toyota
20,Smith 's Food and Drug Store 350,Austin Dillon,Austin Dillon,Austin Dillon,Chevrolet
