Season,Player,School,Position,Class
1991,Kevin Williams,Miami,RS,So
1992,John Biskup,Syracuse,PK,Sr
1993,Pat O'Neill,Syracuse,P/PK,Sr
1994 *,Todd Sauerbrun,West Virginia,P,Sr
1995,Marvin Harrison,Syracuse,RS,Sr
1996 *,Tremain Mack,Miami,RS,Sr
1997 *,Quinton Spotwood,Syracuse,KR,So
1998 *,Kevin Johnson,Syracuse,KR,Sr
1999,Shayne Graham,Virginia Tech,PK,Sr
2000 *,Santana Moss,Miami,PR,Sr
2001,Phillip Buchanon,Miami,PR/KR,Jr
2002,Andy Lee,Pittsburgh,P,Jr
2002,Nate Jones,Rutgers,KR,Jr
2003,Andy Lee ( 2 ),Pittsburgh,P,Sr
2003,DeAngelo Hall,Virginia Tech,PR,Jr
2004,Adam Jones,West Virginia,RS,Jr
2005,Willie Foster,Rutgers,RS,Jr
2006,Ean Randolph,South Florida,RS,Sr
2007,Kevin Huber,Cincinnati,P,Jr
2008,Mardy Gilyard,Cincinnati,KR,Jr
