Team,Location,Stadium,Stadium capacity
Assyriska IK,Jönköping,Rosenlunds IP,"1,500"
Eskilsminne IF,Helsingborg,Harlyckans IP,"3,500"
Kristianstad FC,Kristianstad,Kristianstad Fotbollsarena,"3,000"
Landskrona BoIS,Landskrona,Landskrona IP,"10,500"
Lindome GIF,Lindome,Lindevi IP,"1,500"
Ljungskile SK,Ljungskile,Skarsjövallen,"8,000"
Lunds BK,Lund,Klostergårdens IP,"8,560"
IK Oddevold,Uddevalla,Rimnersvallen,"10,600"
Oskarshamns AIK,Oskarshamn,Arena Oskarshamn,"2,000"
Skövde AIK,Skövde,Södermalms IP,"4,500"
Torns IF,Stångby,Tornvallen,"1,500"
FC Trollhättan,Trollhättan,Edsborgs IP,"5,100"
Tvååkers IF,Tvååker,Övrevi IP,"1,000"
Utsiktens BK,Gothenburg,Ruddalens IP,"5,000"
IFK Värnamo,Värnamo,Finnvedsvallen,"5,000"
Åtvidabergs FF,Åtvidaberg,Kopparvallen,"8,000"
