Medal,Name,Sport,Event
Gold,Gert Fredriksson,Canoeing,Men 's K1 1000 m
Gold,Gert Fredriksson,Canoeing,Men 's K1 10000 m
Gold,Petrus Kastenman,Equestrian,Three-Day Eventing Individual
Gold,Henri Saint Cyr,Equestrian,Dressage Individual
Gold,Adolf Boltenstern Jr. Gehnäll Persson Henri Saint Cyr,Equestrian,Dressage Team
Gold,Lars Hall,Modern pentathlon,Men 's Individual
Gold,Hjalmar Karlsson Sture Stork Lars Thörn,Sailing,Men 's 5½ m Class
Gold,Leif Wikström Folke Bohlin Bengt Palmquist,Sailing,Men 's Dragon Class
Silver,Karin Lindberg Ann-Sofi Pettersson Eva Rönström Evy Berggren Doris Hedberg Maud Karlén,Gymnastics,Women 's Team Exercise with portable Apparatus
Silver,Sven Gunnarsson Olle Larsson Ivar Aronsson Gösta Eriksson Bertil Göransson,Rowing,Men 's Coxed Fours
Silver,Olof Sköldberg,Shooting,"Men 's Running Deer , Single & Double Shot"
Silver,Edvin Vesterby,Wrestling ( Greco-Roman ),Men 's Bantamweight
Silver,William Thoresson,Gymnastics,Men 's Floor
Bronze,John Ljunggren,Athletics,Men 's 50 km Walk
Bronze,Ann-Sofi Pettersson,Gymnastics,Women 's Side Horse Vault
Bronze,John Sundberg,Shooting,"Men 's Small-bore Rifle , Three Positions"
Bronze,Per Gunnar Berlin,Wrestling ( Greco-Roman ),Men 's Welterweight
Bronze,Rune Jansson,Wrestling ( Greco-Roman ),Men 's Middleweight
Bronze,Karl-Erik Nilsson,Wrestling ( Greco-Roman ),Men 's Light Heavyweight
