Player,Original club,New club,Traded for
Mark Alvey,Western Bulldogs,Essendon,Danny Jacobs
Simon Beaumont,Carlton,Hawthorn,David Loats
Nathan Brown,Western Bulldogs,Richmond,draft picks # 6 and # 20
David Clarke,Geelong,Carlton,Simon Beaumont
Trent Croad,Fremantle,Hawthorn,draft pick # 10
Jason Gram,Brisbane Lions,St Kilda,draft pick # 23
Brent Guerra,Port Adelaide,St Kilda,draft pick # 39
Daniel Harford,Hawthorn,Carlton,draft pick # 51
David Haynes,West Coast Eagles,Geelong,draft pick # 20
Ben Holland,Richmond,Melbourne,draft pick # 21
Danny Jacobs,Essendon,Hawthorn,Lochlan Veale
Brett Johnson,Hawthorn,Carlton,draft pick # 51
Steven Koops,Fremantle,Western Bulldogs,draft pick # 19
David Loats,Hawthorn,Geelong,David Clarke
Cory McGrath,Essendon,Carlton,Justin Murphy
Corey McKernan,Carlton,Kangaroos,Digby Morrell
Adam Morgan,Port Adelaide,Western Bulldogs,Luke Peel
Digby Morrell,Kangaroos,Carlton,Corey McKernan
Justin Murphy,Carlton,Essendon,Cory McGrath
Heath Scotland,Collingwood,Carlton,draft pick # 35
