Constituency,Candidate,Votes,%,Position
Aberdare,T. E. Nicholas,"6,229",21.4,2
Accrington,Charles Roden Buxton,"6,369",21.7,3
Ayr Burghs,Campbell Stephen,"4,534",23.2,3
Bermondsey West,Alfred Salter,"1,956",18.6,3
Birmingham Ladywood,John Kneeshaw,"2,572",19.0,2
Blackburn,Philip Snowden,"15,274",19.7,3
Bosworth,Thomas Richardson,"6,344",33.6,2
Bradford Central,William Leach,"7,636",31.3,2
Bradford East,Frederick William Jowett,"8,637",37.9,2
Brigg,David Quibell,"4,789",27.3,2
Bristol East,Luke Bateman,"8,135",42.8,2
Camberwell North,Charles Ammon,"2,175",21.0,3
Cardiff Central,James Ewart Edmunds,"4,663",22.4,2
Chorley,Elijah Sandham,"6,222",32.3,2
Colne Valley,Wilfrid Whiteley,"9,473",41.2,2
Coventry,Richard Collingham Wallhead,"10,298",32.4,2
Dewsbury,Benjamin Riley,"5,596",30.1,2
Dunbartonshire,William Henry Porteous Martin,"7,072",30.9,2
Edinburgh Central,William Graham,"7,161",51.3,1
Glasgow Bridgeton,James Maxton,"7,860",39.8,2
