Date,Tournament,Location,Winner,Score,1st prize ( $ )
Jan 11,Los Angeles Open,California,Paul Harney ( 5 ),276 ( −8 ),"12,000"
Jan 17,San Diego Open Invitational,California,Wes Ellis ( 3 ),267 ( −17 ),"4,850"
Jan 24,Bing Crosby National Pro-Am,California,Bruce Crampton ( 4 ),284 ( −3 ),"11,000"
Jan 31,Lucky International Open,California,George Archer ( 1 ),278 ( −6 ),"8,500"
Feb 7,Bob Hope Desert Classic,California,Billy Casper ( 25 ),348 ( −12 ),"15,000"
Feb 14,Phoenix Open Invitational,Arizona,Rod Funseth ( 1 ),274 ( −14 ),"10,500"
Feb 21,Tucson Open Invitational,Arizona,Bob Charles ( 3 ),271 ( −17 ),"6,800"
Mar 7,Pensacola Open Invitational,Florida,Doug Sanders ( 13 ),277 ( −11 ),"10,000"
Mar 14,Doral Open Invitational,Florida,Doug Sanders ( 14 ),274 ( −14 ),"11,000"
Mar 21,Jacksonville Open,Florida,Bert Weaver ( 1 ),285 ( −3 ),"8,500"
Mar 28,Azalea Open Invitational,North Carolina,Dick Hart ( 1 ),276 ( −12 ),"3,850"
Apr 4,Greater Greensboro Open,North Carolina,Sam Snead ( 82 ),273 ( −11 ),"11,000"
Apr 11,Masters Tournament,Georgia,Jack Nicklaus ( 13 ),271 ( −17 ),"20,000"
Apr 18,Houston Classic,Texas,Bobby Nichols ( 6 ),273 ( −11 ),"12,000"
Apr 25,Texas Open Invitational,Texas,Frank Beard ( 2 ),270 ( −10 ),"7,500"
May 2,Tournament of Champions,Nevada,Arnold Palmer ( 45 ),277 ( −11 ),"14,000"
May 11,Colonial National Invitation,Texas,Bruce Crampton ( 5 ),276 ( −4 ),"20,000"
May 16,Greater New Orleans Open Invitational,Louisiana,Dick Mayer ( 7 ),273 ( −15 ),"20,000"
May 23,Memphis Open Invitational,Tennessee,Jack Nicklaus ( 14 ),271 ( −9 ),"9,000"
May 30,500 Festival Open Invitation,Indiana,Bruce Crampton ( 6 ),279 ( −5 ),"15,200"
