Name,Type,Class,Dates
HMAS K9,Submarine,K VIII,1943-1944
HMAS Kalgoorlie,Corvette,Bathurst,1942-1946
HMAS Kangaroo,Boom defence vessel,Bar,1940-1955
HMAS Kanimbla,Landing ship,,1943-1949
HMAS Kanimbla,Landing ship,Kanimbla,1994-2011
HMAS Kapunda,Corvette,Bathurst,1942-1961
HMAS Kara Kara,Auxiliary boom defense vessel,Auxiliary vessel,1941-1972
HMAS Karangi,Boom defense vessel,Bar,
HMAS Katoomba,Corvette,Bathurst,1940-1957
Kelat,Coal hulk,Auxiliary vessel,1941-1942
HMAS Kianga,Auxiliary minesweeper,,
HMAS Kiama,Corvette,Bathurst,1942-1952
HMAS Kimbla,Trials ship,,1956-1985
HMAS Kinchela,Net layer,,
HMAS King Bay,Examination vessel,,1940-1946
HMAS Koala,Boom defense vessel,Bar,
HMAS Kookaburra,Boom defence vessel,Net,1939-1958
HMAS Koolonga,Collier and supply ship,Auxiliary vessel,1914-1915
HMAS Koompartoo,Auxiliary boom defence vessel,Auxiliary vessel,
HMAS Koopa,Training depot ship and Fairmile Motor Launch depot ship,Auxiliary vessel,1942-1947
