Date,Co-hosts,Guests/segments
June 1,Kelly Ripa & Vince Vaughn,Denis Leary
June 2,Kelly Ripa & Jimmy Kimmel,"Famke Janssen , Sandra Bernhard , Grill Friday"
June 5,Regis Philbin & Kelly Ripa,"Kevin Connolly , Anna Paquin , Broadway Week"
June 6,Regis Philbin & Kelly Ripa,"Ludacris , Julia Stiles , Broadway Week"
June 7,Regis Philbin & Kelly Ripa,"Liev Schreiber , winner of The Apprentice , Broadway Week"
June 8,Regis Philbin & Kelly Ripa,"Charles Gibson , Kyra Sedgwick , Broadway Week"
June 9,Regis Philbin & Kelly Ripa,"Kevin Dillon , Bonnie Hunt , Broadway Week , Grill Friday"
June 12,Regis Philbin & Kelly Ripa,"Julie Andrews , Lauren Conrad"
June 13,Regis Philbin & Kelly Ripa,"Paris Hilton , Janice Dickinson"
June 14,Regis Philbin & Kelly Ripa,Rita Wilson
June 15,Regis Philbin & Kelly Ripa,"Keanu Reeves , a Father 's Day report by Claudia Cohen"
June 16,Regis Philbin & Kelly Ripa,"Sandra Bullock , David Krumholtz , Grill Friday"
June 20,Kelly Ripa & Jeff Gordon,"Miley Cyrus , Wendie Malick , Corinne Bailey Rae"
June 21,Regis Philbin & Kelly Ripa,All-American Rejects
June 22,Regis Philbin & Kelly Ripa,"Adam Sandler , The Toy Guy Chris Byrne"
June 23,Regis Philbin & Kelly Ripa,"Kate Beckinsale , Grill Friday"
June 26,Kelly Ripa & Carson Kressley,Def Leppard
June 27,Regis Philbin & Kelly Ripa,"Meryl Streep , Brandon Routh"
June 28,Regis Philbin & Kelly Ripa,Kate Bosworth
June 29,Regis Philbin & Kelly Ripa,"Anne Hathaway , India.Arie"
