Church,Dates,"City , State"
Belleview Baptist Church,built NRHP-listed,"Belleview , Kentucky"
Drakes Creek Baptist Church,built NRHP-listed,"Bowling Green , Kentucky"
"First Colored Baptist Church ( Bowling Green , Kentucky )",built NRHP-listed,"Bowling Green , Kentucky"
Clifton Baptist Church Complex,built NRHP-listed,"Clifton , Kentucky"
Cane Springs Primitive Baptist Church,built NRHP-listed,"College Hill , Kentucky"
Harrods Creek Baptist Church and Rev . William Kellar House,built NRHP-listed,"Crestwood , Kentucky"
Long Run Baptist Church and Cemetery,built NRHP-listed,"Eastwood , Kentucky"
"First Baptist Church ( Elizabethtown , Kentucky )",built NRHP-listed,"Elizabethtown , Kentucky"
"Bethel Baptist Church ( Fairview , Kentucky )",built NRHP-listed,"Fairview , Kentucky"
"First Baptist Church ( Frankfort , Kentucky )",built 1868,"Frankfort , Kentucky"
First African Baptist Church and Parsonage,built NRHP-listed,"Georgetown , Kentucky"
Mt . Gilead Baptist Church,built NRHP-listed,"Haskingsville , Kentucky"
Nolynn Baptist Church,built NRHP-listed,"Hodgenville , Kentucky"
Mt . Pleasant Baptist Church,built NRHP-listed,"Keene , Kentucky"
"First African Baptist Church ( Lexington , Kentucky )",built NRHP-listed,"Lexington , Kentucky"
Chestnut Street Baptist Church,built NRHP-listed,"Louisville , Kentucky"
Good Spring Baptist Church and Cemetery,built NRHP-listed,"Mammoth Cave , Kentucky"
Joppa Baptist Church and Cemetery,built NRHP-listed,"Mammoth Cave , Kentucky"
Mammoth Cave Baptist Church and Cemetery,built NRHP-listed,"Mammoth Cave , Kentucky"
Mt . Moriah Baptist Church,built NRHP-listed,"Middlesboro , Kentucky"
