Teams,Champion,Runner-up,Third place
BATE Borisov,"15 ( 1999 , 2002 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 )","5 ( 1998 , 2000 , 2003 , 2004 , 2019 )",1 ( 2001 )
Dinamo Minsk,"7 ( 1992 , 1992-93 , 1993-94 , 1994-95 , 1995 , 1997 , 2004 )","9 ( 1996 , 2001 , 2005 , 2006 , 2008 , 2009 , 2014 , 2015 , 2017 )","6 ( 2000 , 2003 , 2012 , 2013 , 2016 , 2018 )"
Slavia Mozyr,"2 ( 1996 , 2000 )","2 ( 1995 , 1999 )",-
Shakhtyor Soligorsk,1 ( 2005 ),"6 ( 2010 , 2011 , 2012 , 2013 , 2016 , 2018 )","8 ( 2002 , 2004 , 2006 , 2007 , 2014 , 2015 , 2017 , 2019 )"
Gomel,1 ( 2003 ),1 ( 2007 ),"2 ( 1999 , 2011 )"
Belshina Bobruisk,1 ( 2001 ),1 ( 1997 ),"2 ( 1996 , 1998 )"
Dnepr Mogilev,1 ( 1998 ),1 ( 1992 ),1 ( 2009 )
Dynamo Brest,1 ( 2019 ),-,1 ( 1992 )
Vitebsk,-,"2 ( 1992-93 , 1994-95 )","2 ( 1993-94 , 1997 )"
Dinamo-93 Minsk,-,1 ( 1993-94 ),"3 ( 1992-93 , 1994-95 , 1995 )"
Neman Grodno,-,1 ( 2002 ),-
Partizan Minsk,-,-,"2 ( 2005 , 2008 )"
Minsk,-,-,1 ( 2010 )
