Club,Qualified,Champions,Runners-up,Seasons
KSG Saarbrücken,1,0,0,1944
1 . FC Saarbrücken,4,0,2,"1943 , 1952 , 1957 , 1961"
FC Schalke 04,22,7,3,"1927 , 1928 , 1929 , 1930 , 1932 , 1933 , 1934 , 1935 , 1936 , 1937 , 1938 , 1939 , 1940 , 1941 , 1942 , 1943 , 1944 , 1951 , 1952 , 1956 , 1958 , 1962"
FC Schweinfurt 05,2,0,0,"1939 , 1942"
SV Sodingen,1,0,0,1955
LSV Stettin,1,0,0,1941
Preußen Stettin,1,0,0,1928
SC Stettin,4,0,0,"1921 , 1926 , 1935 , 1938"
Titania Stettin,6,0,0,"1920 , 1922 , 1925 , 1927 , 1929 , 1930"
VfL Stettin,1,0,0,1940
Viktoria Stolp,5,0,0,"1932 , 1934 , 1936 , 1937 , 1939"
SG SS Straßburg,1,0,0,1942
Stuttgarter Kickers,7,0,1,"1908 , 1913 , 1936 , 1939 , 1940 , 1941 , 1942"
VfB Stuttgart,9,2,2,"1935 , 1937 , 1938 , 1943 , 1950 , 1952 , 1953 , 1954 , 1956"
SpVgg Sülz 07,3,0,0,"1928 , 1930 , 1939"
