Year,Award,Category,Film,Result
1987,César Awards,Best Actor,Jean de Florette,Won
1987,BAFTA Award,Best Actor in a Supporting Role,Jean de Florette,Won
1988,Molière Awards,Best Actor,Double Inconstancy ( La Double Inconstance ),Nominated
1989,César Awards,Best Actor,Quelques jours avec moi,Nominated
1991,César Awards,Best Actor,Lacenaire,Nominated
1991,Molière Awards,Best Actor,Les Fourberies de Scapin,Nominated
1993,César Awards,Best Actor,A Heart in Winter ( Un cœur en hiver ),Nominated
1993,European Film Award,Best Actor,A Heart in Winter,Won
1994,César Awards,Best Actor,My Favorite Season ( Ma saison préférée ),Nominated
1995,César Awards,Best Actor,La Séparation,Nominated
1997,César Awards,Best Actor,The Eighth Day ( Le huitième jour ),Nominated
1998,César Awards,Best Actor,Le Bossu,Nominated
2000,César Awards,Best Actor,Girl on the Bridge ( La Fille sur le pont ),Won
2001,Lumières Awards,Best Actor,Sade,Won
2003,César Awards,Best Actor,The Adversary ( L'Adversaire ),Nominated
2004,César Awards,Best Actor,After You ... ( Après vous ... ),Nominated
2005,César Awards,Best Actor,"Department 36 ( 36 , quai des Orfèvres )",Nominated
2005,European Film Award,Best Actor,Caché,Won
