Rank,Mark,Athlete,Date,Place
1,98.48 m ( 323 ft 1 in ),Jan Železný ( CZE ),25 May 1996,Jena
2,94.44 m ( 309 ft 10 in ),Johannes Vetter ( GER ),11 July 2017,Lucerne
3,93.90 m ( 308 ft ⁄ 4 in ),Thomas Röhler ( GER ),5 May 2017,Doha
4,93.09 m ( 305 ft 4 ⁄ 4 in ),Aki Parviainen ( FIN ),26 June 1999,Kuortane
5,92.72 m ( 304 ft 2 ⁄ 4 in ),Julius Yego ( KEN ),26 August 2015,Beijing
6,92.61 m ( 303 ft 10 in ),Sergey Makarov ( RUS ),30 June 2002,Sheffield
7,92.60 m ( 303 ft 9 ⁄ 2 in ),Raymond Hecht ( GER ),21 July 1995,Oslo
8,92.06 m ( 302 ft ⁄ 4 in ),Andreas Hofmann ( GER ),2 June 2018,Offenburg
9,91.69 m ( 300 ft 9 ⁄ 4 in ),Konstadinós Gatsioúdis ( GRE ),24 June 2000,Kuortane
10,91.59 m ( 300 ft 5 ⁄ 4 in ),Andreas Thorkildsen ( NOR ),2 June 2006,Oslo
11,91.53 m ( 300 ft 3 ⁄ 2 in ),Tero Pitkämäki ( FIN ),26 June 2005,Kuortane
12,91.46 m ( 300 ft ⁄ 4 in ),Steve Backley ( GBR ),25 January 1992,Auckland
13,91.36 m ( 299 ft 8 ⁄ 4 in ),Cheng Chao-tsun ( TPE ),26 August 2017,Taipei
14,91.29 m ( 299 ft 6 in ),Breaux Greer ( USA ),21 June 2007,Indianapolis
15,90.73 m ( 297 ft 8 in ),Vadims Vasilevskis ( LAT ),22 July 2007,Tallinn
16,90.61 m ( 297 ft 3 ⁄ 4 in ),Magnus Kirt ( EST ),22 June 2019,Kuortane
17,90.60 m ( 297 ft 2 ⁄ 4 in ),Seppo Räty ( FIN ),20 July 1992,Nurmijärvi
18,90.44 m ( 296 ft 8 ⁄ 2 in ),Boris Henry ( GER ),9 July 1997,Linz
19,90.16 m ( 295 ft 9 ⁄ 2 in ),Keshorn Walcott ( TTO ),9 July 2015,Lausanne
20,89.73 m ( 294 ft 4 ⁄ 2 in ),Jakub Vadlejch ( CZE ),12 August 2017,London
