Title,Director,Cast,Genre
The Abandoned,Nacho Cerdà,"Anastasia Hille , Karel Roden",Horror
Alien Autopsy,Jonny Campbell,"Ant & Dec , Jimmy Carr",Comedy
Amazing Grace,Michael Apted,"Ioan Gruffudd , Albert Finney",Biopic
Antonio 's Breakfast,Daniel Mulloy,George Irving,Short
As You Like It,Kenneth Branagh,"Romola Garai , Alfred Molina",Comedy
Basic Instinct 2,Michael Caton-Jones,"Sharon Stone , David Morrissey",Thriller
Breaking and Entering,Anthony Minghella,"Jude Law , Juliette Binoche",Romantic drama
Cashback,Sean Ellis,"Sean Biggerstaff , Emilia Fox",Drama
Casino Royale,Martin Campbell,"Daniel Craig , Eva Green , Mads Mikkelsen",Spy/action
Children of Men,Alfonso Cuarón,"Julianne Moore , Clive Owen",Sci-fi
A Cock and Bull Story,Michael Winterbottom,"Steve Coogan , Rob Brydon , Keeley Hawes",Comedy
Colour Me Kubrick,Michael Fitzgerald,"John Malkovich , Richard E. Grant",Comedy
Confetti,Debbie Isitt,"Martin Freeman , Jessica Stevenson",Mockumentary
Driving Lessons,Jeremy Brock,"Julie Walters , Rupert Grint , Laura Linney",Comedy/drama
The Flying Scotsman,Douglas Mackinnon,"Jonny Lee Miller , Laura Fraser",Sports
A Good Year,Ridley Scott,Russell Crowe,Romantic comedy
Half Light,Craig Rosenberg,"Demi Moore , Hans Matheson",Thriller
The History Boys,Nicholas Hytner,"Richard Griffiths , Domonic Cooper",Drama
The Kovak Box,Daniel Monzón,"Timothy Hutton , Lucía Jiménez",Thriller
The Last King of Scotland,Kevin Macdonald,"Forest Whitaker , James McAvoy",Drama
