Name,Party,Riding
Kevin Barr,New Democratic Party,Mount Lorne-Southern Lakes
Brad Cathers,Yukon Party,Lake Laberge
Currie Dixon,Yukon Party,Copperbelt North
Darius Elias,Yukon Party,Vuntut Gwitchin
Doug Graham,Yukon Party,Porter Creek North
Elizabeth Hanson,New Democratic Party,Whitehorse Centre
Stacey Hassard,Yukon Party,Pelly-Nisutlin
Wade Istchenko,Yukon Party,Kluane
Scott Kent,Yukon Party,Riverdale North
David Laxton,Independent,Porter Creek Centre
Patti McLeod,Yukon Party,Watson Lake
Mike Nixon,Yukon Party,Porter Creek South
Lois Moorcroft,New Democratic Party,Copperbelt South
Darrell Pasloski,Yukon Party,Mountainview
Sandy Silver,Liberal,Klondike
Jan Stick,New Democratic Party,Riverdale South
Elaine Taylor,Yukon Party,Whitehorse West
Jim Tredger,New Democratic Party,Mayo-Tatchun
Kate White,New Democratic Party,Takhini-Kopper King
