Name,Connections,District,Opened,Code
Tuen Mun,Transfer to Light Rail 505 507 751 at Tuen Mun Stop,Tuen Mun,20 December 2003,TUM
Siu Hong,Transfer to Light Rail 505 610 614 614P 615 615P 751 at Siu Hong Stop,Tuen Mun,20 December 2003,SIH
Tin Shui Wai,Transfer to Light Rail 705 706 751 751P at Tin Shui Wai Stop,Yuen Long,20 December 2003,TIS
Long Ping,,Yuen Long,20 December 2003,LOP
Yuen Long,Transfer to Light Rail 610 614 615 761P at Yuen Long Stop,Yuen Long,20 December 2003,YUL
Kam Sheung Road,,Yuen Long,20 December 2003,KSR
Tsuen Wan West,,Tsuen Wan,20 December 2003,TWW
Mei Foo,Tsuen Wan line,Sham Shui Po,20 December 2003,MEF
Nam Cheong,Tung Chung line,Sham Shui Po,20 December 2003,NAC
Austin,,Yau Tsim Mong,16 August 2009,AUS
East Tsim Sha Tsui,Transfer to Tsuen Wan line via Tsim Sha Tsui Station,Yau Tsim Mong,24 October 2004,ETS
Hung Hom,East Rail line,Yau Tsim Mong / Kowloon City,30 November 1975,HUH
