Club,Owner ( s ),Estimated combined net worth,Source of wealth
Arsenal ( more information ),Stan Kroenke ( 100% ),$ 9.7B,Wal-Mart
Aston Villa ( more information ),Nassef Sawiris Wesley Edens,$ 9.2B,Investment and Industry Fortress Investment Group
Bournemouth,Maxim Demin ( 75% ) PEAK6 Investments ( 25% ),$ 110M,Petrochemicals trading Seven Developments Investments
Brighton & Hove Albion,Tony Bloom ( 75.61% ),$ 1.7B,"Online Gambling , Real Estate , Property , Land Development & Investments"
Burnley,Mike Garlick ( 49.3% ) John Banaszkiewicz ( 27.55% ),$ 80M,Michael Bailey Associates Freight Investor Services
Chelsea ( more information ),| Roman Abramovich,$ 12.9B,Oil and industry
Crystal Palace,Steve Parish Joshua Harris David S. Blitzer,$ 3.9B,Tag Worldwide Investment
Everton ( more information ),Farhad Moshiri ( 77.2 ) Bill Kenwright CBE Jon Woods,$ 2B,Steel and energy Theatre production Planet Hollywood Ocean Software
Leicester City,The Srivaddhanaprabha Family,$ 5.9B,King Power International Group
Liverpool ( more information ),Fenway Sports Group,$ 2.7B,Fenway Sports Group
Manchester City ( more information ),Mansour bin Zayed Al Nahyan,$ 22B,Abu Dhabi United Group
Manchester United ( more information ),The Glazer Family,$ 4.9B,"First Allied Corporation , Tampa Bay Buccaneers"
Newcastle United ( more information ),Mike Ashley,$ 2.8B,Sports Direct International
Norwich City ( more information ),Delia Smith and Michael Wynn-Jones ( 53% ) Michael Foulger ( 15% ),$ 30M,Food industry Publishing Poultry
Sheffield United,Abdullah bin Musa'ed,$ 255M,Saudi Paper Manufacturing Co
Southampton,Gao Jisheng ( 80% ) Katharina Liebherr ( 20% ),$ 4B,Lander Sports Development Co Ltd Inheritance
Tottenham Hotspur ( more information ),Joe Lewis ( 70.6% of 85% holding company ) Daniel Levy ( 29.4% of 85% holding company ),$ 6.2B,Currency Trading
Watford,Gino Pozzo,$ 120M,Investment
West Ham United ( more information ),David Sullivan ( 51.1% ) David Gold ( 35.1% ) Albert Smith ( 10% ),$ 1.6B,"Daily Sport , Sunday Sport Gold Group International GSO Capital Partners"
Wolverhampton Wanderers,Guo Guangchang ( on behalf of Fosun International ),$ 6.7B,Fosun International
