Year,Winner,Reign,Date
1994,Rayo de Jalisco Jr,1,"April 15 , 1994"
1995,Headhunter A,1,"July 7 , 1995"
1996,Hijo del Santo,1,"July 5 , 1996"
1997,Steel,1,"April 4 , 1997"
1998,Rayo de Jalisco Jr,2,"August 14 , 1998"
2002,Máscara Mágica,1,"March 22 , 2002"
2003,Dr. Wagner Jr,1,"May 5 , 2003"
2005,Atlantis,1,"September 23 , 2005"
2006,Último Guerrero,1,"May 12 , 2006"
2007,Último Guerrero,2,"May 11 , 2007"
2008,Alex Shelley,1,"July 26 , 2008"
2016,Volador Jr,1,"July 1 , 2016"
2017,Diamante Azul,1,"September 1 , 2017"
2018,Michael Elgin,1,"October 5 , 2018"
2019,Volador Jr,2,"August 30 , 2019"
