Year,Title,Role
1916,The Lyons Mail,Janette
1921,Belphegor the Mountebank,Countess de Blangy
1923,Bonnie Prince Charlie,Lady Kingsburgh
1923,The Woman Who Obeyed,Governess
1923,Comin ' Thro ' the Rye,Mrs. Titmouse
1923,"Love , Life and Laughter",Balloon blowers wife 's friend
1927,Huntingtower,Mrs. Moran
1928,His House in Order,Lady Ridgeley
1928,The Price of Divorce,
1929,The American Prisoner,Lovey Lee
1930,The Loves of Robert Burns,Posie Nancy
1930,Such Is the Law,Aunt
1931,The Speckled Band,Mrs. Staunton
1932,Down Our Street,Annie Collins
1934,The Crucifix,Miss Bryany
1939,The Stars Look Down,Martha Fenwick
1940,Dead Man 's Shoes,Madame Pelletier
1942,Secret Mission,"Violette , housekeeper"
1944,Madonna of the Seven Moons,Mama Barucci
1945,I Know Where I 'm Going !,Mrs. Crozier
