Number,Length ( km ),Runs through :,Condition :
N1,149,Antananarivo - Analavory - Tsiroanomandidy - Belobaka,parts are paved
N1b,94,Analavory - Babetville - Tsiroanomandidy,
N2,367,Antananarivo - Toamasina,"paved , good condition"
N3,91,Antananarivo - Anjozorobe - Lake Alaotra,paved
N3a,180,Lake Alaotra - Andilamena,"paved , good condition"
N3b,106,Sambava - Andapa,"paved , good condition"
N4,570,Antananarivo - Mahajanga,paved
N5,402,Toamasina - Maroantsetra,"first 160 km paved , remaining : unpaved in bad condition"
N5a,406,Ambilobe - Antalaha,"unpaved between Ambilobe - Vohemar remaining paved , in good condition"
N6,706,Antsiranana - Ambondromamy,paved
N7,956,Antananarivo - Tulear,"paved , good condition"
N8,198,Morondava - Belo-sur-Tsiribihina - Bekopaka,unpaved
N8a,119,Maintirano - Antsalova,
N9,382,Tuléar - Bevoay - Manja - Mandabe,unpaved
N10,512,Andranovory - Beloha - Ambovombe,unpaved
N11,103,Mananjary - Nosy Varika,"unpaved , bad condition"
N11a,125,junction RN2 - Vatomandry Ilaka Atsinana - Mahanoro,partly paved
N12,300,Irondro - Manakara - Farafangana - Vangaindrano,"paved , partly in bad condition"
N12a,256,Tôlanaro ( Fort Dauphin ) - Manantenina - Vangaindrano,"unpaved , bad condition"
N13,493,Ihosy - Ambovombe - Tôlanaro ( Fort Dauphin ),"unpaved between Ihosy - Ambovombe , paved but bad condition from Ambovombe - Tôlanaro ( Fort Dauphin )"
