Code,Gross capacity x10 m,Nr . regions,Major rivers,Drains to
A,"1,284",9,Limpopo River,Indian Ocean
B,"1,502",9,Olifants River,Limpopo River
C,"7,941",9,Vaal River,Orange River
D,"11,105",8,"Orange River ( below Gariep Dam ) , Kraai River",South Atlantic
E,128,4,"Olifants River ( above confluence with the Doring River ) , Groot River",South Atlantic
F,,6,Buffels River,South Atlantic
G,445,5,"Berg River , Diep River , Eerste River , Verlorevlei River , Bot River , Klein River , Uilkraal River",South Atlantic
H,"1,024",9,"Hex River , Kingna River , Breede River ( below Brandvlei Dam ) , Tributaries of the Sonderend River above theewaterskloof Dam",Indian Ocean
J,200,4,"Touws River , Gamka River , Olifants River , Langtou River , Weyers River",
K,183,9,"Little Brak River , Great Brak River , Karatara River , Knysna River , Keurbooms River , Bloukrans River , Lottering River , Storms River , Sandrif River , Groot River , Tsitsikamma River , Klippedrift River , Kromme River , Seekoei River , Kabelkous River",Indian Ocean
L,219,9,"Baviaanskloof River , Kouga River , Lower Gamtoos River",
M,12,3,"Swartkops River , Maitland River , Van Stadens River",Indian Ocean
N,227,4,"Sundays River ( below Darlington Dam , and above Vanrynevelds Pass Dam ) , Skoenmakers River ( below Skoenmakers Canal Outlet ) , Gats River",Indian Ocean
P,,4,"Bushmans River , Kowie River , Kariega River",Indian Ocean
Q,131,9,"Great Fish River , Little Fish River , Tarka River , Vlekpoort River , Lake Arthur",Indian Ocean
R,211,5,"Buffels River , Kwenxura River , Kwelera River , Gonubie River , Nahoon River",
S,610,7,"White Kei River ( above Xonxa Dam ) , Indwe River ( above Lubisi Dam ) , Swart Kei River ( above Klipplaat River confluence ) , Klipplaat River ( above Waterdown Dam ) , Oxkraal River ( above Oxkraal Dam ) , Thorn River , Thomas River , Tsomo River , Kwa-Qokwama River , Mbokotwa River , Kubisi River ( above Wriggleswade Dam ) , Toise River , Xilinxa River ( above Xilinxa Dam )",
T,248,9,"Slang River , Xuka River , Mtata River ( above Mtata Dam ) , Tsitsa River , Pot River , Mooi River , Inxu River , Wildebees River , Gatberg River",Indian Ocean
U,806,8,"Mgeni River , Mvoti River",Indian Ocean
V,"1,110",7,"Tugela River , Mooi River , Sundays River , Bushmans River",Indian Ocean
