Member,Electoral district,Party
Amos Lyle,Arthur,Conservative
Aimé Bénard,Assiniboia,Conservative
James Argue,Avondale,Conservative
James H. Howden,Beautiful Plains,Conservative
George Malcolm,Birtle,Liberal
George R. Coldwell,Brandon City,Conservative
Alfred Carroll,Brandon South,Conservative
Albert Prefontaine,Carillon,Conservative
George Steel,Cypress,Conservative
James G. Harvey,Dauphin,Conservative
John C. W. Reid,Deloraine,Conservative
Rodmond Roblin,Dufferin,Conservative
David Henry McFadden,Emerson,Conservative
Samuel Hughes,Gilbert Plains,Conservative
Baldwin Baldwinson,Gimli,Conservative
James William Armstrong,Gladstone,Liberal
William Ferguson,Hamiota,Conservative
Orton Grain,Kildonan and St. Andrews,Conservative
George Lawrence,Killarney,Conservative
Charles Duncan McPherson,Lakeside,Liberal
