Club,Player,Caps ( total ),First cap - Last cap
Atlético Madrid,Kieran Trippier,3 ( 19 ),7 September 2019 - 14 October 2019
Barcelona,Gary Lineker,24 ( 80 ),15 October 1986 - 7 June 1989
Bari,David Platt,10 ( 62 ),11 September 1991 - 17 June 1992
Bayern Munich,Owen Hargreaves,39 ( 42 ),15 August 2001 - 28 Mar 2007
Borussia Dortmund,Jadon Sancho,11,12 October 2018 - 14 November 2019
Bursaspor,Scott Carson,1 ( 4 ),15 November 2011
Cardiff City,Jay Bothroyd,1,17 November 2010
Celtic,Fraser Forster,2 ( 6 ),15 November 2013 - 7 June 2014
D.C. United,Wayne Rooney,1 ( 120 ),15 November 2018
1 . FC Köln,Tony Woodcock,18 ( 42 ),22 November 1979 - 5 July 1982
Hamburger SV,Kevin Keegan,25 ( 63 ),8 June 1977 - 18 June 1980
Hibernian,Joe Baker,5 ( 8 ),18 November 1959 - 22 May 1960
Inter Milan,Paul Ince,17 ( 53 ),27 March 1996 - 10 June 1997
Juventus,David Platt,10 ( 62 ),9 September 1992 - 19 June 1993
Lazio,Paul Gascoigne,12 ( 57 ),14 October 1992 - 11 June 1995
LA Galaxy,David Beckham,14 ( 115 ),22 August 2007 - 14 October 2009
Marseille,Chris Waddle,18 ( 62 ),6 September 1989 - 16 October 1991
Milan,Ray Wilkins,22 ( 84 ),12 September 1984 - 12 November 1986
Monaco,Glenn Hoddle,9 ( 53 ),9 September 1987 - 18 June 1988
Rangers,Terry Butcher,32 ( 77 ),10 September 1986 - 4 July 1990
