N,Pos,Name,Age,Since,Transfer fee
2,DF,John Galliquio,40,2009,Youth system
3,DF,Werner Schuler,29,2011,Youth system
4,MF,Álvaro Ampuero,27,2011,Youth system
5,MF,Antonio Gonzáles,33,2006,Youth system
6,MF,Rainer Torres,40,2008,
7,MF,Miguel Angel Torres,38,2007,Youth system
8,,Christofer González,,2012,Youth system
9,FW,Miguel Ximénez,42,2012,
10,MF,Horacio Calcaterra,30,2012,
11,MF,Carlos Olascuaga,20,2012,
12,GK,Luis Llontop,34,2008,Youth system
13,MF,Edison Flores,25,2011,Youth system
14,DF,Néstor Duarte,29,2007,Youth system
15,MF,Josimar Vargas,29,2011,Youth system
16,DF,Christian Dávila,29,2012,Youth system
18,FW,Andy Polo,25,2011,Youth system
19,,Diego Chávez,19,2012,Youth system
20,MF,José Mendoza,37,2011,Youth system
20,FW,Guillermo Tomasevich,32,2011,
21,GK,Carlos Cáceda,28,2011,Youth system
