Name,Colonels,Summary
1st Massachusetts,Joseph Vose,"This regiment ( also sometimes referred to as Vose 's Regiment ) was formed by consolidating two companies from the 6th Continental Regiment , and two companies formed from the 18th Continental Regiment , with the remnant of the 15th Continental Regiment . The commanding officer , Colonel Joseph Vose , had been the major of Greaton 's Regiment in 1775 and the lieutenant colonel of the 24th Continental Regiment in 1776 . As the 15th Continental Regiment , reorganizing as the 1st Massachusetts Regiment , it served in St. Clair 's Brigade at Princeton . Reorganization was completed in the spring of 1777 , and the regiment was ordered to Peekskill in the Highlands . On July 10 , 1777 it was assigned to the 2d Massachusetts Brigade under Brigadier General Glover . The regiment served in the Saratoga campaign , then marched south to join Washington in the Middle Department . It served in the Philadelphia campaign and wintered at Valley Forge . In 1778 it served in the Monmouth campaign , then at Rhode Island . Following Rhode Island the regiment was stationed in the Highlands , but in 1781 its light company was assigned to Lieutenant Colonel Elijah Vose 's Battalion , Corps of Light Infantry , which served in the Yorktown campaign . The regiment was disbanded at West Point , New York , on November 3 , 1783"
2nd Massachusetts,John Bailey,"This regiment was formed by consolidating the remnants of the 7th Continental Regiment ; Peters ' Company , 13th Continental Regiment ; and Clap 's Company , 21st Continental Regiment ; with the remnant of the 23d Continental Regiment . ( Peters ' and Clap 's Companies were reorganized , respectively , as Warren 's and Dunham 's Companies , Bailey 's Regiment ) . The commanding officer , Colonel John Bailey , had been the lieutenant colonel , later the colonel , of Thomas 's Regiment in 1775 and colonel of the 23rd Continental Regiment in 1776 . As the 23rd Continental Regiment , reorganizing as the 2nd Massachusetts Regiment , it served in Glover 's Brigade at Princeton . Reorganization was completed in the spring of 1777 , and the regiment was ordered to the Northern Department . In the summer of 1777 it was assigned to the 4th Massachusetts Brigade under Brigadier General Learned . The regiment retreated toward Saratoga after the American evacuation of Fort Ticonderoga in July , and marched under Arnold to the relief of Fort Stanwix in August . Following the Saratoga campaign the regiment marched south to join Washington in the Middle Department . It served in the Philadelphia campaign and wintered at Valley Forge . In 1778 it served in the Monmouth campaign . After November 1778 the regiment was stationed in the Highlands , but in 1781 its light company was assigned to Lieutenant Colonel Elijah Vose 's Battalion , Corps of Light Infantry , which served in the Yorktown campaign . The regiment was disbanded at West Point , New York , on November 3 , 1783"
3rd Massachusetts,John Greaton,"This regiment was formed by consolidating the remnant of the 25th Continental Regiment with the remnant of the 24th Continental Regiment ( less the remnants of Bent 's and Whiting 's Companies ; the latter were reorganized as Fairfield 's and Pillsbury 's Companies , Wigglesworth 's Regiment ) . The commanding officer , John Greaton , had been the lieutenant colonel of Heath 's Regiment , and its commander , in 1775 . In 1776 he commanded the 24th Continental Regiment . The regiment was disbanded on November 5 , 1783"
4th Massachusetts,William Shepard,"This regiment was formed by consolidating the remnant of King 's Company , 21st Continental Regiment , with the remnant of the 3rd Continental Regiment . ( King 's Company was redesignated Alvord 's Company ) . The commanding officer , William Shepard , had been the lieutenant colonel of Danielson 's Regiment in 1775 and the lieutenant colonel of the 3rd Continental Regiment in 1776 . He was wounded at the Battle of Pell 's Point on October 18 , 1776 . The regiment was disbanded on November 5 , 1783"
5th Massachusetts,Rufus Putnam,"This regiment was formed by consolidating the remnant of Walbridge 's Company , 13th Continental Regiment , with the remnant of the 27th Continental Regiment . ( Walbridge 's Company was reorganized as Goodale 's Company ) . The commanding officer , Rufus Putnam , had been the lieutenant colonel of David Brewer 's Regiment in 1775 . The regiment was furloughed on June 12 , 1783 , and disbanded without reforming on November 15 , 1783"
6th Massachusetts,Thomas Nixon Benjamin Tupper,"This regiment was formed by reconstituting the remnant of the 4th Continental Regiment as a regiment to serve for the duration . The commanding officer , Thomas Nixon , had been the lieutenant colonel of John Nixon 's Regiment in 1775 and lieutenant colonel of the 4th Continental Regiment in 1776 . He was promoted to colonel on August 9 , 1776 . Colonel Benjamin Tupper was commanding officer of the 6th Massachusetts Regiment from January 1 , 1783 until June 12 , 1783 . The regiment was furloughed on June 12 , 1783 , and disbanded without reforming on November 15 , 1783"
7th Massachusetts,Ichabod Alden,"This regiment was a new organization , raised under the Eighty-Eight Battalion Resolve of September 16 , 1776 . The commanding officer , Ichabod Alden , had been the lieutenant colonel of Cotton 's Regiment in 1775 and lieutenant colonel of the 25th Continental Regiment in 1776 . He was killed at Cherry Valley , New York , on November 10 , 1778 , and his lieutenant colonel , William Stacy was taken prisoner . The regiment was furloughed on June 12 , 1783 , and disbanded without reforming on November 15 , 1783"
8th Massachusetts,Michael Jackson,"This regiment was formed by reconstituting the remnant of the 16th Continental Regiment as a regiment to serve for the duration . The commanding officer had been the major of Gardner 's Regiment in 1775 , and was wounded on June 17 , 1775 , at the Battle of Bunker Hill . In 1776 he was lieutenant colonel of the 16th Continental Regiment and was wounded at Montresor 's Island on September 24 , 1776 . The regiment was furloughed on June 12 , 1783 , and disbanded without reforming on November 15 , 1783"
9th Massachusetts,James Wesson,"This regiment was formed by consolidating the remnant of the 21st Continental Regiment ( less the remnants of Clap 's and King 's Companies ) with the remnant of the 26th Continental Regiment . The commanding officer , James Wesson , had been the major of Gerrish 's Regiment in 1775 and the lieutenant colonel of the 26th Continental Regiment in 1776 . He was wounded on June 28 , 1778 , at the Battle of Monmouth , New Jersey . The regiment was disbanded on January 1 , 1783"
10th Massachusetts,Thomas Marshall Benjamin Tupper,"This regiment was a new organization , raised under the Eighty-Eight Battalion Resolve of September 16 , 1776 . The commanding officer , Thomas Marshall , had been an officer in the Massachusetts militia . Colonel Benjamin Tupper was commanding officer of the 10th Massachusetts Regiment from January 1 , 1781 until January 1 , 1783 , when the regiment was disbanded"
