City,Country,Stadium,Capacity,Further reading
Saint-Denis,France,Stade de France,"80,000",Overview
Marseille,France,Stade Vélodrome,"59,500",Overview
Paris,France,Parc des Princes,"47,870",Overview
Lens,France,Stade Félix-Bollaert,"41,400",Overview
Lyon,France,Stade de Gerland,"41,100",Overview
Nantes,France,Stade de la Beaujoire,"38,100",Overview
Toulouse,France,Stadium de Toulouse,"35,700",Overview
Saint-Étienne,France,Stade Geoffroy-Guichard,"35,650",Overview
Bordeaux,France,Stade Chaban-Delmas,"34,440",Overview
Montpellier,France,Stade de la Mosson,"33,900",Overview
