Club,Head coach,Captain,Kit manufacturer,Shirt sponsor
Global,Edwin Cabalida,Yu Hoshide,LGR Athletic,
Green Archers United,Rodolfo Alicante,Patrick Bacobo,LGR Athletic,Globe Telecom
Kaya,Michael Angelo Kale Alvarez,Aly Borromeo,Mizuno,"LBC Express , Inc"
Loyola,Kim Chul-soo,James Younghusband,Mizuno,Meralco
Manila Nomads,Michael Denison,Randy Musters,Fila,Auction Manila
Pasargad,Esmaeil Sedigh Joel Villarino,Mansour Madadi,Planet Sports,
Philippine Air Force,Edzel Bracamonte,Yanti Barsales,Mizuno,Phoenix
Philippine Army,"Patricio Bumidang , Jr",Roel Gener,Puma,Fritz & Macziol IBM
Philippine Navy,Marlon Maro,Loreto Kalalang,LGR Athletic,RedJuice
Stallion,Ernie Nierras Eun Hyung Pee,Ruben Doctora Jr,Nike,Gilligan 's Grill and Bar
