Player,Position,Times Won,Years
Don Baylor,DH,2,"1983 , 1985"
Reggie Jackson,DH,1,1980
Jorge Posada,C,5,"2000-03 , 2007"
Mike Stanley,C,1,1993
Gary Sánchez,C,1,2017
Don Mattingly,1B,3,1985-87
Jason Giambi,1B,1,2002
Tino Martinez,1B,1,1997
Mark Teixeira,1B,1,2009
Robinson Canó,2B,5,"2006 , 2010-13"
Willie Randolph,2B,1,1980
Alfonso Soriano,2B,1,2002
Alex Rodriguez,3B,3,"2005 , 2007-2008"
Wade Boggs,3B,2,1993-94
Derek Jeter,SS,5,"2006-2009 , 2012"
Dave Winfield,OF,4,1981-82 1984-85
Gary Sheffield,OF,2,2004-05
Rickey Henderson,OF,1,1985
Bernie Williams,OF,1,2002
Curtis Granderson,OF,1,2011
