Actor,Role,Appearances,Year
Wendell Wright,Sgt . Thomas Powell,"The Gathering , The Road Not Taken , Innocent Man",1992
Matthew Walker,Ian MacLeod,"Family Tree , Homeland , Prophecy",1992-1996
Christianne Hirt,Angie Burke,"The Road Not Taken , Revenge Is Sweet",1992
Jay Brazeau,Commissioner Stanley Stosh Cominski,"Free Fall , Bad Day In Building A",1992
Leslie Carlson,Sam Thompson,"Free Fall , Deadly Medicine",1992
Tim Reid,Sgt . Ray Bennett,"Revenge Is Sweet , See No Evil , Eyewitness",1992
Werner Stocker,Darius,"Band of Brothers , For Tomorrow We Die , The Beast Below , Saving Grace , The Hunters",1993
Hugues Leforestier,Inspector Raymond LeBrun,"For Evil 's Sake , For Tomorrow We Die , Saving Grace",1993
Roland Gift,Xavier St . Cloud,"For Tomorrow We Die , Unholy Alliance , Unholy Alliance Part Two , Finale , Double Jeopardy",1993-1994
Elizabeth Gracen,Amanda,"The Lady and The Tiger , The Return of Amanda , Legacy , The Cross of St. Antoine , Rite of Passage , Finale , Finale Part 2 , Double Eagle , Reunion , The Colonel , Methuselah 's Gift , The Immortal Cimoli , Dramatic License , Money No Object , The Stone of Scone , Forgive Us Our Trespasses , To Be , Not To Be",1993-1998
Roger Daltrey,Hugh Fitzcairn,"The Hunters , Star-Crossed , Till Death , The Stone of Scone , Unusual Suspects , To Be , Not To Be",1993-1998
Peter Hudson,James Horton,"The Hunters , The Watchers , Unholy Alliance , Unholy Alliance Part Two , Counterfeit , Counterfeit Part Two , One Minute to Midnight , To Be , Not To Be",1993-1998
Bruce A . Young,Carl Robinson,"Run For Your Life , Manhunt",1993-1996
Alexandra Stewart,Catherine Legris,"Unholy Alliance , Unholy Alliance Part Two",1994
Stacey Travis,Renee Delaney,"Unholy Alliance , Unholy Alliance Part Two , Double Jeopardy",1994-1997
Nadia Cameron,Rebecca Horne,"Legacy , Methuselah 's Gift",1994-1996
Alexandra Vandernoot,Lisa Halle/Lisa Milon,"Counterfeit ( uncredited ) , Counterfeit Part Two",1994
Myles Ferguson,Kenny,"The Lamb , Reunion",1994-1995
David Robb,Kalas,"Song of the Executioner , Star-Crossed , Methos , Finale , Finale Part 2",1994
Peter Wingfield,Methos,"Methos , Finale , Finale Part 2 , Chivalry , Timeless , Deliverance , Methuselah 's Gift , Through a Glass , Darkly , Till Death , Judgement Day , One Minute to Midnight , The Messenger , The Valkyrie , Comes a Horseman , Revelation 6:8 , Forgive Us Our Trespasses , The Modern Prometheus , Archangel , Indiscretions , To Be , Not To Be",1995-1998
