Name ( Alphabetical ),Party,Date of Appointment,Date of Retirement,Term
Govindrao Adik,Congress ( I ),03/08/1993,02/04/1995,1
Govindrao Adik,Congress ( I ),03/04/1994,02/04/2000,2nd
Govindrao Adik,NCP,04/08/2009,02/04/2012,3rd
Sushila Adivarekar,INC,18/09/1971,02/04/1972,1
Sushila Adivarekar,INC,03/04/1972,02/04/1978,2nd
Sushila Adivarekar,INC,03/04/1978,02/04/1984,3rd
P. C. Alexander,Independent,29/07/2002,02/04/2008,1
Abid Ali Jaferbhai,INC,03/04/1952,02/04/1954,1
Abid Ali Jaferbhai,INC,03/04/1954,02/04/1958,2nd
Abid Ali Jaferbhai,INC,03/04/1958,02/04/1964,3rd
Abid Ali Jaferbhai,Congress ( O ),03/04/1964,02/04/1970,4th
Violet Alva,INC,03/04/1952,02/04/1954,1
Violet Alva,INC,03/04/1954,02/04/1960,2nd
Jagannath Sitaram Akarte,INC,05/07/1980,04/07/1986,1
Dr B. R. Ambedkar,Others,03/04/1952,02/04/1956,1
Dr B. R. Ambedkar,Others,03/04/1956,06/12/1956,2nd
A. R. Antulay,INC,03/04/1976,03/07/1980,1
Tariq Anwar,NCP,05/07/2004,04/07/2010,1
Tariq Anwar,NCP,05/07/2010,04/07/2016,2nd
Balavant Apte,BJP,03/04/2000,02/04/2006,1
