Year,Title,Role
2003,Thirteen,Evie Zamora
2005,Man of God,Zane Berg
2005,Lords of Dogtown,Kathy Alva
2005,American Gun,Tally
2006,Mini 's First Time,Minerva Mini Drogues
2007,Cherry Crush,Shay Bettencourt
2008,Twilight,Rosalie Hale
2008,Familiar Strangers,Allison
2009,The Twilight Saga : New Moon,Rosalie Hale
2009,Last Day of Summer,Stefanie
2010,The Twilight Saga : Eclipse,Rosalie Hale
2010,Chain Letter,Jessie Campbell
2010,Privileged,Lauren Carrington
2011,Catch .44,Kara
2011,The Twilight Saga : Breaking Dawn - Part 1,Rosalie Hale
2012,The Twilight Saga : Breaking Dawn - Part 2,Rosalie Hale
2013,Empire State,Lizzette
2013,Pawn,Amanda
2013,Enter the Dangerous Mind,Wendy
2014,Balls Out,Meredith Downs
