Year,Film,Role,Co-stars,Language
2001,Ee Parakkum Thalika,Gayathri / Basanthi,"Dileep , Harisree Ashokan , Cochin Haneefa , Salim Kumar",Malayalam
2001,Nariman,Sruthi,"Suresh Gopi , Samyuktha Varma",Malayalam
2002,Kunjikoonan,Dream wife,"Dileep , Navya Nair , Manya , Cochin Haneefa , Saikumar , Salim Kumar",Malayalam
2002,Kanmashi,Sethulakshmi ( Kanmashi ),"Vineeth Kumar , Nedumudi Venu , Kalabhavan Mani",Malayalam
2003,Balettan,Devaki,"Mohanlal , Devayani , Nedumudi Venu , Innocent , Jagathy Sreekumar , Harisree Ashokan , Sudheesh , Riyaz Khan",Malayalam
2003,Choonda,Anitha,"Jishnu , Geetu Mohandas , Siddique , Oduvil Unnikrishnan",Malayalam
2003,Varum Varunnu Vannu,Podimol,"Balachandra Menon , Gautami",Malayalam
2004,Freedom,Shalini,"Jishnu , Renuka Menon , Nishanth Sagar",Malayalam
2004,Maratha Nadu,Thahira,"Murali , Oduvil Unnikrishnan , Madhupal , Urmila Unni",Malayalam
2004,Kathavasheshan,Sreedevi,"Dileep , Jyothirmai",Malayalam
2005,Hridayathil Sookshikkan,Nanditha,"Kunchacko Boban , Bhavana , Harisree Ashokan , Bhanupriya , Siddique",Malayalam
2005,Cholliyattam,,"Aravind Akash , Nedumudi Venu , K. P. A. C. Lalitha , Oduvil Unnikrishnan , Meghanathan",Malayalam
2005,123 from Amalapuram,Aswini,"Ravi Prakash , Raja Sridhar , Anil",Telugu
2005,Pon Megalai,Mekhala,Abhinay,Tamil
2006,Manathodu Mazhaikalam,Sathya,"Shaam , Jayasurya , Samiksha , Kalabhavan Mani",Tamil
2007,Nagaram,Poonkodi,"Gopika , Lakshmi Sharma , Kalabhavan Mani , Harisree Ashokan , Salim Kumar , Biju Menon , Sudheesh",Malayalam
2007,Soorya Kireedam,Urmila,"Indrajith Sukumaran , Remya Nambeesan , Nishanth Sagar , Mamukkoya",Malayalam
