Rank,Rider,Team,Time
1,Chris Froome ( GBR ),Team Sky,30h 59 ' 02
2,Tejay van Garderen ( USA ),BMC Racing Team,+ 10
3,Rui Costa ( POR ),Lampre-Merida,+ 1 ' 16
4,Beñat Intxausti ( ESP ),Movistar Team,+ 1 ' 21
5,Simon Yates ( GBR ),Orica-GreenEDGE,+ 1 ' 33
6,Romain Bardet ( FRA ),AG2R La Mondiale,+ 2 ' 05
7,Dan Martin ( IRL ),Cannondale-Garmin,+ 2 ' 52
8,Joaquim Rodríguez ( ESP ),Team Katusha,+ 3 ' 06
9,Alejandro Valverde ( ESP ),Movistar Team,+ 3 ' 12
10,Andrew Talansky ( USA ),Cannondale-Garmin,+ 4 ' 17
