Season,Coach,School
1998-99,Dean Smith,North Carolina
1999-00,Mike Krzyzewski,Duke
2000-01,Lute Olson,Arizona
2001-02,Denny Crum,Louisville
2002-03,Roy Williams,Kansas
2003-04,Mike Montgomery,Stanford
2004-05,Jim Calhoun,Connecticut
2005-06,Jim Boeheim,Syracuse
2006-07,Gene Keady,Purdue
2007-08,Pat Summitt,Tennessee ( women )
2008-09,Rick Barnes,Texas
2009-10,Billy Donovan,Florida
2010-11,Tom Izzo,Michigan State
2011-12,Geno Auriemma,Connecticut ( women )
2012-13,Bill Self,Kansas
2013-14,Tara VanDerveer,Stanford ( women )
2014-15,Steve Fisher,San Diego State
2015-16,Tubby Smith,Texas Tech
2016-17,Muffet McGraw,Notre Dame ( women )
2017-18,Jay Wright,Villanova
