Title,Genre,Premiere
Ghost in the Shell : SAC_2045,Anime,April 2020
Crazy Delicious ( co-production with Channel 4 ),Cooking competition,Early 2020
EDEN,Anime,Fall 2020
50M2,Turkish language dark comedy,2020
Age of Samurai : Battle for Japan,Historical drama docuseries,2020
Alice in Borderland,Japanese language fantasy,2020
Alma,Spanish language supernatural drama,2020
Arsène Lupin,French language drama,2020
Behind Her Eyes,Psychological thriller miniseries,2020
Blood and Water,Teen drama,2020
Boca a Boca,Portuguese language comedy,2020
Bridgerton,Romance,2020
Cursed,Fantasy drama,2020
El desorden que dejas,Spanish language drama,2020
Emily 's Wonder Lab,Educational,2020
Fate : The Winx Saga,Teen drama,2020
Gabby 's Dollhouse,Animation,2020
Ginny & Georgia,Coming of age drama,2020
"Go , Dog , Go !",Animation,2020
Grand Army,Drama,2020
