Medal,Name,Sport,Event
Gold,Ekaterina Karsten,Rowing,Women 's single sculls
Silver,Vladimir Dubrovshchik,Athletics,Men 's discus throw
Silver,Natalya Sazanovich,Athletics,Women 's heptathlon
Silver,Igor Basinsky,Shooting,Men 's 50 metre pistol
Silver,Aleksandr Pavlov,Wrestling,Men 's Greco-Roman 48 kg
Silver,Sergey Lishtvan,Wrestling,Men 's Greco-Roman 100 kg
Silver,Aleksey Medvedev,Wrestling,Men 's freestyle 130 kg
Bronze,Vasiliy Kaptyukh,Athletics,Men 's discus throw
Bronze,Ellina Zvereva,Athletics,Women 's discus throw
Bronze,Vitaly Scherbo,Gymnastics,Men 's artistic individual all-around
Bronze,Vitaly Scherbo,Gymnastics,Men 's horizontal bar
Bronze,Vitaly Scherbo,Gymnastics,Men 's parallel bars
Bronze,Vitaly Scherbo,Gymnastics,Men 's vault
Bronze,Yelena Mikulich Marina Znak Nataliya Volchek Nataliya Stasyuk Tamara Davydenko Valentina Skrabatun Nataliya Lavrinenko Yaroslava Pavlovich Aleksandra Pankina,Rowing,Women 's eight
Bronze,Valery Tsilent,Wrestling,Men 's Greco-Roman 82 kg
